ID,ENG,HEB,PoS,score
2901,clothed,מכוסה,adjectives,3.12
2902,manuscript,ספר,nouns,2.21
2903,lunch,כריך,nouns,1.69
2904,student,מורה,nouns,0.91
2905,occur,לקרות,verbs,5.27
2906,disprove,להרשות,verbs,0.1
2907,pathology,המטולוגיה,nouns,1.91
2908,pesticide,מזיק,nouns,0.91
2909,chapel,כבל,nouns,0.0
2910,fantastically,באופן מדהים,adverbs,5.39
2911,withdraw,לדחות,verbs,0.75
2912,brick,קיר,nouns,1.16
2913,circumcision,עורלה,nouns,1.19
2914,atom,מולקולה,nouns,2.19
2915,flora,טבע,nouns,2.42
2916,passively,בשקט,adverbs,1.32
2917,schemer,אסטרטג,nouns,3.2
2918,suds,בועה,nouns,2.59
2919,delicately,כרגע,adverbs,0.0
2920,disagree,לריב,verbs,1.64
2921,forget,לשמור,verbs,0.45
2922,aid,לסייע,verbs,5.61
2923,eye,דמעה,nouns,0.82
2924,arm,מפרק,nouns,1.56
2925,milk,מיץ,nouns,1.06
2926,code,סמל,nouns,2.08
2927,normal,משונה,adjectives,0.54
2928,cigar,קופסה,nouns,0.42
2929,winner,מועמד,nouns,0.98
2930,computer,דיסק,nouns,0.84
2931,wrist,יד,nouns,1.5
2932,emotionally,בעצב,adverbs,1.38
2933,retire,לסגת,verbs,3.42
2934,rhythm,חשבון,nouns,0.1
2935,container,בקבוק,nouns,1.3
2936,copilot,שוטר,nouns,0.64
2937,plead,לרצות,verbs,0.61
2938,cry,להתייפח,verbs,4.53
2939,strong,גאה,adjectives,0.46
2940,hit,למשוך,verbs,0.45
2941,floor,תקרה,nouns,0.71
2942,censorship,חופש,nouns,0.61
2943,anatomy,ביולוגיה,nouns,2.88
2944,carriage,עגלה,nouns,3.26
2945,take,להחזיק,verbs,1.71
2946,chaos,אנרכיה,nouns,3.83
2947,innocent,נאיבי,adjectives,5.38
2948,screenwriter,טלויזיה,nouns,0.92
2949,surely,בברור,adverbs,3.8
2950,narrow,רחב,adjectives,0.54
2951,electric,מכני,adjectives,0.92
2952,intelligence,תובנה,nouns,2.34
2953,sunshine,תפוח,nouns,0.0
2954,convince,להתווכח,verbs,1.71
2955,mad,שמח,adjectives,0.45
2956,flower,סבולת,nouns,0.0
2957,computer,מכונה,nouns,2.21
2958,buy,לקבל,verbs,1.48
2959,draw,ליצור,verbs,1.67
2960,cab,טקסי,nouns,5.54
2961,learn,לאמוד,verbs,0.57
2962,wagon,כרכרה,nouns,3.26
2963,fundraising,פיתוח,nouns,0.44
2964,smother,לחבק,verbs,0.92
2965,neurosis,נפש,nouns,1.02
2966,find,לאתר,verbs,4.83
2967,modern,עתיק,adjectives,0.54
2968,decide,לבחור,verbs,3.73
2969,unusually,באופן מוזר,adverbs,4.93
2970,remind,לשכוח,verbs,0.54
2971,kidnap,לגנוב,verbs,2.23
2972,once,מיידית,adverbs,0.58
2973,car,משאית,nouns,2.29
2974,manner,דרך,nouns,3.92
2975,book,תורה,nouns,1.57
2976,rod,וילון,nouns,0.85
2977,king,נפוטיזם,nouns,0.76
2978,beat,לשלב,verbs,0.21
2979,assignment,הערה,nouns,0.46
2980,subtly,בקול רם,adverbs,0.24
2981,whistle,לעצור,verbs,0.1
2982,attend,להתכנס,verbs,1.12
2983,lock,מפתח,nouns,0.94
2984,structure,טופולוגיה,nouns,2.26
2985,hand,מפרק,nouns,1.5
2986,church,קתדרלה,nouns,3.95
2987,drawing,מהומה,nouns,0.1
2988,include,לערב,verbs,3.2
2989,rational,פיכח,adjectives,2.26
2990,mask,מסיבה,nouns,0.45
2991,task,כביש,nouns,0.0
2992,disorganized,מסודר,verbs,0.54
2993,finish,לפתור,verbs,1.99
2994,constitution,קיסר,nouns,0.38
2995,neuropsychology,פרפסיכולוגיה,nouns,1.61
2996,chair,מיטה,nouns,0.87
2997,scientist,אחות,nouns,0.36
2998,cheerful,מהנה,adjectives,3.09
2999,ability,כשירות,nouns,4.41
3000,imitate,ללכוד,verbs,0.27
3001,calf,שור,nouns,2.11
3002,help,להגן,verbs,1.59
3003,accuse,לשפוט,verbs,1.94
3004,ask,לעזור,verbs,1.05
3005,theory,היפותזה,nouns,4.86
3006,jacket,בגדים,nouns,1.57
3007,queen,דבורה,nouns,0.94
3008,lung,כבד,nouns,1.04
3009,king,נסיכה,nouns,1.39
3010,unite,לחלק,verbs,0.54
3011,condition,ילד,nouns,0.0
3012,top,חמישי,adjectives,0.25
3013,lift,לגרור,verbs,2.09
3014,acquire,לגנוב,verbs,1.39
3015,law,לימודים,nouns,0.57
3016,possess,לשמור,verbs,2.94
3017,ice,מים,nouns,2.17
3018,proudly,בענווה,adverbs,0.77
3019,known,לאומי,adjectives,0.6
3020,lemma,הברה,nouns,0.81
3021,dangerously,בזהירות,adverbs,0.45
3022,spoon,כוס,nouns,1.09
3023,medal,מאמנים,nouns,0.54
3024,cattle,פרה,nouns,4.07
3025,pursue,לשכנע,verbs,0.29
3026,son,אבא,nouns,1.31
3027,tower,פעמון,nouns,0.57
3028,rescue,להציל,verbs,5.31
3029,task,מטלה,nouns,5.21
3030,plane,מסוק,nouns,2.21
3031,attack,פשע,nouns,2.15
3032,mad,אומלל,adjectives,1.02
3033,pointer,שקופית,nouns,0.2
3034,disembodied,רוחני,adjectives,1.19
3035,cardboard,נייר,nouns,2.59
3036,roof,קומה,nouns,0.85
3037,fresh,ישן,adjectives,0.54
3038,brother,אב,nouns,1.09
3039,operation,אלגברה,nouns,0.81
3040,give,להכחיש,verbs,0.05
3041,situation,נסיבות,nouns,4.69
3042,wine,ליקר,nouns,1.6
3043,alcohol,ויסקי,nouns,1.91
3044,emotion,תשוקה,nouns,2.86
3045,cardigan,חולצה,nouns,1.46
3046,aggression,עוינות,nouns,4.34
3047,pure,צנוע,adjectives,0.87
3048,salad,דיאטה,nouns,1.13
3049,professor,דוקטור,nouns,2.58
3050,intelligence,מיומנות,nouns,1.68
3051,fifth,עליון,adjectives,0.25
3052,illusion,מציאות,nouns,0.61
3053,sense,אינטואיציה,nouns,4.64
3054,acid,בסיס,nouns,0.87
3055,symbol,צופן,nouns,1.84
3056,grow,להתרחב,verbs,4.7
3057,twice,פעם אחת,adverbs,1.35
3058,dinosaur,פיל,nouns,0.67
3059,notify,לאשר,verbs,1.24
3060,ceremony,חגיגה,nouns,3.14
3061,behaviorism,טיפול,nouns,1.07
3062,action,דרך,nouns,1.84
3063,gather,להגיע,verbs,1.12
3064,hymn,כבוש,nouns,0.25
3065,salt,מים,nouns,0.63
3066,performer,שיר,nouns,0.59
3067,artwork,אמן,nouns,1.14
3068,easily,בערך,adverbs,0.15
3069,hard,קשיח,adjectives,3.74
3070,stone,עץ,nouns,0.44
3071,unsure,מפוחד,adjectives,1.13
3072,people,סנט,nouns,0.65
3073,yard,אינץ',nouns,1.48
3074,contribution,מנחה,nouns,3.3
3075,caterpillar,תולעת משי,nouns,2.08
3076,collect,לשמור,verbs,2.12
3077,asteroid,כוכב,nouns,1.72
3078,gauge,מכונית,nouns,0.4
3079,preheat,חימום מחדש,nouns,1.88
3080,retain,להישאר,verbs,0.74
3081,listen,ללמוד,verbs,1.19
3082,swear,להבטיח,verbs,4.92
3083,chicken,סטייק,nouns,1.31
3084,corporation,עסק,nouns,3.49
3085,book,תאונה,nouns,0.0
3086,sadness,שמחה,nouns,0.59
3087,outlander,חייזר,nouns,2.22
3088,push,למשוך,verbs,0.54
3089,ostrich,פרדס,nouns,0.1
3090,leg,גף,nouns,2.52
3091,guy,שותף,nouns,0.77
3092,choice,וריד,nouns,0.0
3093,boat,עץ,nouns,0.55
3094,size,טריק,nouns,0.0
3095,camera,המשך,nouns,0.0
3096,second,דקה,nouns,1.69
3097,win,להצליח,verbs,2.64
3098,article,כתב יד,nouns,1.92
3099,friend,אורח,nouns,2.01
3100,race,סוף שבוע,nouns,0.05
3101,forgive,לקבל,verbs,1.25
3102,maturely,בצדקנות,adverbs,0.64
3103,try,להצליח,verbs,1.23
3104,endurance,פרח,nouns,0.0
3105,haunt,להבהיל,verbs,1.34
3106,dairy,דבש,nouns,0.41
3107,destroy,ליצור,verbs,0.54
3108,policeman,פוליטיקאי,nouns,0.42
3109,actor,זמר,nouns,1.21
3110,theatre,סרט,nouns,1.75
3111,emotion,מצב רוח,nouns,3.25
3112,brightly,בקלות,adverbs,0.97
3113,surely,בהחלט,adverbs,5.14
3114,fight,להרוג,verbs,0.84
3115,throne,חרב,nouns,0.38
3116,elegance,סגנון,nouns,2.66
3117,organ,כבד,nouns,1.73
3118,participate,להצטרף,verbs,2.92
3119,anxious,עצבני,adjectives,1.64
3120,plate,קערה,nouns,2.17
3121,wine,אלכוהול,nouns,1.99
3122,agree,לחלוק,verbs,0.54
3123,cow,עז,nouns,1.27
3124,lazy,עסוק,adjectives,0.4
3125,artificial,מזוייף,adjectives,4.22
3126,tremor,רעידת אדמה,nouns,2.71
3127,rock,מכרה,nouns,1.07
3128,aggravate,לתקוף,verbs,0.88
3129,meadow,ערבה,nouns,2.19
3130,deputy,קצין,nouns,1.99
3131,helicopter,מטוס,nouns,2.21
3132,tomorrow,הלילה,adverbs,0.67
3133,new,טרי,adjectives,3.29
3134,style,אופנה,nouns,3.9
3135,bulb,פרח,nouns,1.33
3136,precisely,במדוייק,adverbs,5.02
3137,man,מנצח,nouns,0.71
3138,size,גודל,nouns,4.31
3139,manager,מנהיג,nouns,3.1
3140,loudly,ברכות,adverbs,0.29
3141,carbohydrate,סוכרוז,nouns,1.98
3142,course,פעולה,nouns,1.84
3143,bus,מונית,nouns,1.69
3144,old,מעורבב,adjectives,0.0
3145,hymn,תורה,nouns,0.58
3146,watch,להתבונן,verbs,5.32
3147,winner,נוכחות,nouns,0.0
3148,carry,למסור,verbs,1.0
3149,reject,לסגת,verbs,0.75
3150,grow,להתכווץ,verbs,0.69
3151,choke,לנשום,verbs,0.5
3152,wait,לעזוב,verbs,0.2
3153,suggest,לייעץ,verbs,3.81
3154,lizard,ממשלה,nouns,0.05
3155,broad,גדול,adjectives,2.41
3156,information,עיתון,nouns,1.21
3157,town,עיר,nouns,3.27
3158,luck,שמחה,nouns,0.74
3159,take,לעזוב,verbs,0.19
3160,drown,להציל,verbs,0.55
3161,notify,ליידע,verbs,4.85
3162,costume,כדור,nouns,0.2
3163,weave,לקשור,verbs,2.61
3164,father,אל,nouns,0.54
3165,never,לעיתים רחוקות,adverbs,2.13
3166,bold,גאה,adjectives,1.19
3167,fake,מלאכותי,adjectives,4.22
3168,cloud,חלון,nouns,0.3
3169,roam,לשוטט,verbs,4.72
3170,river,עמק,nouns,1.02
3171,tough,קשה,adjectives,3.74
3172,happily,נמרצות,adverbs,0.45
3173,angry,שמח,adjectives,0.54
3174,sociobiology,מוטציה,nouns,0.4
3175,capture,לתפוס,verbs,4.65
3176,squall,רוח,nouns,2.37
3177,flexible,צנוע,adjectives,0.1
3178,laugh,לגחך,verbs,4.13
3179,chair,ספסל,nouns,2.61
3180,opinion,נטייה,nouns,2.49
3181,argument,ביקורת,nouns,1.73
3182,container,עכבר,nouns,0.0
3183,lose,לקבל,verbs,0.4
3184,falcon,עיט,nouns,2.59
3185,stupid,עקשן,adjectives,0.56
3186,decade,מאה,nouns,1.15
3187,ball,כדורעף,nouns,1.95
3188,follow,לרדוף,verbs,2.42
3189,bring,לשאת,verbs,2.0
3190,rare,יוצא דופן,adjectives,4.64
3191,despise,להאשים,verbs,0.4
3192,confidently,בחשאיות,adverbs,0.72
3193,airport,חלק,nouns,0.1
3194,ride,לרוץ,verbs,0.69
3195,strike,לפספס,verbs,0.5
3196,peacefully,בהרס,adverbs,0.24
3197,catch,לשחרר,verbs,0.54
3198,assignment,משימה,nouns,5.21
3199,bed,חדר,nouns,0.64
3200,wizard,כבל,nouns,0.15
3201,sure,בטוח,adjectives,5.26
3202,sincerely,לרוב,adverbs,0.05
3203,circumnavigation,מטען,nouns,0.17
3204,woman,משימה,nouns,0.0
3205,covered,לבוש,adjectives,3.12
3206,smartly,בבגרות,adverbs,1.67
3207,eczema,דרמטיטיס,nouns,2.44
3208,boat,סיפון,nouns,1.04
3209,accept,למסור,verbs,0.5
3210,ashamed,בר מזל,adjectives,0.05
3211,size,סנט,nouns,0.1
3212,probably,בהחלט,adverbs,0.94
3213,patient,פגישה,nouns,0.63
3214,street,סמטה,nouns,3.23
3215,justify,לטעון,verbs,2.08
3216,good,חריף,adjectives,0.45
3217,normal,שונה,adjectives,0.45
3218,nerve,גוף,nouns,0.5
3219,proof,עובדה,nouns,1.92
3220,say,לבטא,verbs,3.76
3221,ignore,להימנע,verbs,2.27
3222,fraternity,גברים,nouns,0.84
3223,party,אנשים,nouns,1.09
3224,organ,כלייה,nouns,2.05
3225,well,מוכר,adjectives,0.67
3226,spine,גוף,nouns,1.04
3227,apple,דיאטה,nouns,0.69
3228,deny,להודות,verbs,0.54
3229,peninsula,אי,nouns,2.02
3230,easy,קשה,adjectives,0.54
3231,sky,שמש,nouns,1.01
3232,matrix,וקטור,nouns,2.3
3233,month,אוגוסט,nouns,2.15
3234,limb,רגל,nouns,2.52
3235,allow,ללכת,verbs,0.09
3236,bad,בינוני,adjectives,0.81
3237,lizard,תנין,nouns,2.4
3238,impression,אמונה,nouns,1.66
3239,bedroom,בטן,nouns,0.05
3240,wife,חור,nouns,0.0
3241,comfort,בטיחות,nouns,1.26
3242,restrict,להקטין,verbs,1.89
3243,compete,לסיים,verbs,0.79
3244,seldom,לעיתים קרובות,adverbs,0.67
3245,base,כף רגל,nouns,1.74
3246,pray,לבקש,verbs,1.79
3247,biology,אנטומיה,nouns,2.88
3248,examine,לחקור,verbs,3.7
3249,lately,לאחרונה,adverbs,5.32
3250,destroy,להרוג,verbs,2.09
3251,travel,ללכת,verbs,2.22
3252,unformed,מדים,adjectives,0.1
3253,birthday,תאריך,nouns,1.65
3254,tired,רעב,adjectives,0.57
3255,portray,להחליט,verbs,0.2
3256,neutral,רגוע,adjectives,1.61
3257,princess,מלך,nouns,1.39
3258,beer,אלכוהול,nouns,1.95
3259,information,אנטרופיה,nouns,1.19
3260,curved,תוקפני,adjectives,0.05
3261,sea,שפך,nouns,1.02
3262,reduce,לכווץ,verbs,3.63
3263,doorway,יציאה,nouns,1.85
3264,forgive,למחול,verbs,5.33
3265,aim,להכות,verbs,0.56
3266,regularly,לעיתים,adverbs,1.36
3267,business,חברה,nouns,3.71
3268,strange,תמוה,adjectives,5.09
3269,food,תוכנית,nouns,0.25
3270,moral,אגדה,nouns,0.27
3271,flesh,דם,nouns,1.27
3272,dentist,קולונל,nouns,0.34
3273,electricity,תיבה,nouns,0.2
3274,keep,לתת,verbs,0.3
