ID,RUS,SPA,PoS,score
2910,скучный,emocionante,adjectives,0.15
2911,приходить,asistir,verbs,2.15
2912,преуспевать,fallar,verbs,0.1
2913,грязный,increíble,adjectives,0.0
2914,шланг,jardín,nouns,0.65
2915,нигилизм,película,nouns,0.1
2916,глубоко,principalmente,adverbs,0.7
2917,копить,gastar,verbs,0.1
2918,пол,techo,nouns,0.65
2919,занятый,perezoso,adjectives,0.2
2920,полоскать,lavar,verbs,3.15
2921,вредитель,pesticida,nouns,0.7
2922,трава,raíz,nouns,0.95
2923,личный,privado,adjectives,4.1
2924,воинственность,combate,nouns,2.7
2925,кислота,base,nouns,0.55
2926,меч,ambiente,nouns,0.25
2927,деньги,salario,nouns,3.25
2928,задание,tarea,nouns,4.4
2929,осведомленность,atención,nouns,1.2
2930,ударять,castigar,verbs,1.1
2931,изогнутый,agresivo,adjectives,0.0
2932,брать,recibir,verbs,1.4
2933,повышать,levantar,verbs,1.6
2934,частный,personal,adjectives,4.1
2935,создатель,autor,nouns,4.9
2936,град,lluvia,nouns,1.25
2937,пророк,sacerdote,nouns,1.2
2938,лазить,hacer senderismo,verbs,0.9
2939,предприятие,industria,nouns,2.35
2940,аффикс,sufijo,nouns,1.6
2941,пинать,herir,verbs,1.8
2942,одежда,tela,nouns,2.0
2943,мускул,lengua,nouns,1.4
2944,нерв,cuerpo,nouns,0.55
2945,необычный,normal,adjectives,0.15
2946,опровергать,permitir,verbs,0.3
2947,велосипед,habitación,nouns,0.15
2948,сфера,pelota,nouns,2.25
2949,хижина,abrigo,nouns,0.75
2950,платить,tratar,verbs,0.2
2951,обнаруживать,encontrar,verbs,4.85
2952,пшеница,cereal,nouns,2.45
2953,слегка,brillantemente,adverbs,0.0
2954,избежать,negar,verbs,0.6
2955,презирать,cargar,verbs,0.45
2956,президент,contaminación,nouns,0.25
2957,отражение,imagen,nouns,1.7
2958,поднимать,aumentar,verbs,1.6
2959,узкий,largo,adjectives,0.3
2960,спальня,bicicleta,nouns,0.15
2961,бог,presa,nouns,0.15
2962,спасти,destruir,verbs,0.05
2963,дух,dios,nouns,1.8
2964,вежливый,apropiado,adjectives,2.75
2965,стоять,caminar,verbs,0.2
2966,мужество,nervio,nouns,1.25
2967,рис,frijol,nouns,0.85
2968,нести,tomar,verbs,0.5
2969,пассивно,seguramente,adverbs,0.0
2970,день,noche,nouns,0.6
2971,линза,cámara,nouns,1.7
2972,метеор,gravedad,nouns,0.8
2973,кабель,mago,nouns,0.0
2974,окружение,espada,nouns,0.25
2975,опустить,reducir,verbs,0.7
2976,судно,coche,nouns,0.6
2977,приятель,amigo,nouns,3.85
2978,мальчик,hijo,nouns,2.55
2979,приобретать,recibir,verbs,2.4
2980,предупреждать,detener,verbs,0.5
2981,внимательно,peligrosamente,adverbs,0.25
2982,брат,alma,nouns,0.65
2983,зарплата,dinero,nouns,3.25
2984,сын,padre,nouns,1.25
2985,изучать,descubrir,verbs,2.7
2986,воспринимать,oír,verbs,1.85
2987,завоевание,batalla,nouns,1.95
2988,гордый,pobre,adjectives,0.15
2989,распечатать,ignorar,verbs,0.0
2990,дантист,coronel,nouns,0.15
2991,совершенно,verdaderamente,adverbs,1.4
2992,ванна,tronco,nouns,0.0
2993,экосистема,economía,nouns,0.55
2994,простынь,avión,nouns,0.0
2995,будка,teléfono,nouns,1.05
2996,нерешительный,neutral,adjectives,1.3
2997,озон,atmósfera,nouns,1.8
2998,забор,saltando,nouns,0.5
2999,родитель,padre,nouns,4.25
3000,ленивый,precioso,adjectives,0.0
3001,полет,aviación,nouns,1.75
3002,светиться,brillar,verbs,4.35
3003,ярко,ligeramente,adverbs,0.0
3004,представлять,decidir,verbs,0.8
3005,парень,semental,nouns,0.75
3006,терминально,diferentemente,adverbs,0.05
3007,дыра,esposa,nouns,0.0
3008,мята,goma,nouns,0.2
3009,ассистировать,ayudar,verbs,4.45
3010,статья,diario,nouns,1.55
3011,север,sur,nouns,0.45
3012,датчик,radiador,nouns,0.8
3013,оценивать,aprender,verbs,1.55
3014,боулинг,jugador de bolos,nouns,2.0
3015,когда,a veces,adverbs,0.55
3016,мошенничать,engañar,verbs,4.15
3017,нелегальный,legal,adjectives,0.2
3018,напиток,cerveza,nouns,2.1
3019,провалиться,confiar,verbs,0.1
3020,дерево,bote,nouns,0.45
3021,обычно,rutinariamente,adverbs,4.3
3022,жестокий,bonito,adjectives,0.05
3023,статистика,tenis,nouns,0.25
3024,печальный,orgulloso,adjectives,0.1
3025,раввин,ministro,nouns,1.7
3026,женщина,pantalones,nouns,0.3
3027,шпиль,capilla,nouns,1.1
3028,воровать,comprar,verbs,0.1
3029,потолок,catedral,nouns,0.35
3030,твердый,difícil,adjectives,4.25
3031,обычно,sinceramente,adverbs,0.45
3032,песня,balada,nouns,3.75
3033,монастырь,ducha,nouns,0.0
3034,воля,intención,nouns,1.7
3035,думать,preguntar,verbs,0.7
3036,мяч,raqueta,nouns,1.25
3037,певец,actor,nouns,0.9
3038,босс,director,nouns,4.5
3039,ученик,estudiante,nouns,5.45
3040,покидать,ignorar,verbs,0.4
3041,полиэстер,algodón,nouns,0.85
3042,рисовать,crear,verbs,1.2
3043,возможно,con optimismo,adverbs,0.9
3044,промышленность,negocio,nouns,2.35
3045,сенат,constitución,nouns,1.05
3046,создатель,fabricante,nouns,3.9
3047,страсть,emoción,nouns,2.7
3048,новость,chisme,nouns,2.25
3049,петь,flotador,verbs,0.05
3050,стрела,objetivo,nouns,1.1
3051,ветка,brazo,nouns,0.8
3052,задолжать,prestar,verbs,0.9
3053,солдат,paz,nouns,0.45
3054,кокпит,copiloto,nouns,0.55
3055,правило,convención,nouns,1.75
3056,довольный,feliz,adjectives,3.75
3057,множество,abundancia,nouns,4.85
3058,грубый,feo,adjectives,0.9
3059,отвергать,retirar,verbs,1.45
3060,женщина,hombre,nouns,0.95
3061,горло,lengua,nouns,0.95
3062,огромный,grande,adjectives,4.9
3063,отец,hermano,nouns,0.6
3064,операция,corazón,nouns,0.9
3065,просто,aparentemente,adverbs,0.9
3066,входить,deber,verbs,0.0
3067,театр,batería,nouns,0.1
3068,батарейка,energía,nouns,2.5
3069,орган,hígado,nouns,2.1
3070,талия,comida,nouns,0.25
3071,вознаграждение,pago,nouns,3.75
3072,уверенно,secretamente,adverbs,0.55
3073,матрица,vector,nouns,1.7
3074,биолог,microscopio,nouns,1.2
3075,море,delta,nouns,0.75
3076,раздробить,aplastar,verbs,1.95
3077,мужчины,fraternidad,nouns,0.75
3078,червяк,código malicioso,nouns,1.15
3079,окно,tobillo,nouns,0.05
3080,общение,idioma,nouns,1.55
3081,посылать,traer,verbs,0.65
3082,критиковать,odiar,verbs,0.9
3083,иногда,cuando,adverbs,0.55
3084,громить,romper,verbs,1.95
3085,получать,aceptar,verbs,2.75
3086,тело,ropa interior,nouns,0.45
3087,никогда,generosamente,adverbs,0.0
3088,кристиан,protestante,nouns,1.35
3089,нищенствовать,pedir prestado,verbs,0.95
3090,профессор,estudiante,nouns,0.65
3091,советовать,recomendar,verbs,4.85
3092,путешествовать,escalar,verbs,0.9
3093,принимать,disminuir,verbs,0.0
3094,сказка,lápiz,nouns,0.4
3095,авиация,vuelo,nouns,1.75
3096,диод,condensador,nouns,1.75
3097,сельское хозяйство,planta,nouns,0.85
3098,мирно,orgullosamente,adverbs,0.1
3099,кино,ópera,nouns,0.9
3100,стратег,intrigante,nouns,1.25
3101,кость,músculo,nouns,0.55
3102,стыд,dolor,nouns,0.75
3103,яблоко,caramelo,nouns,0.65
3104,иссохший,hambriento,adjectives,1.15
3105,восстановить,reparar,verbs,4.15
3106,больница,cama,nouns,0.85
3107,список,formación,nouns,0.7
3108,уведомлять,retratar,verbs,0.3
3109,закат,noche,nouns,2.1
3110,спектакль,camafeo,nouns,0.0
3111,смертельно,felizmente,adverbs,0.15
3112,вред,dolor,nouns,1.75
3113,деление,multiplicación,nouns,0.6
3114,глаз,frente,nouns,0.65
3115,группа,espíritu,nouns,0.4
3116,тело,brazo,nouns,1.1
3117,проницательность,inteligencia,nouns,1.55
3118,ненавидеть,despreciar,verbs,3.75
3119,странно,diferentemente,adverbs,1.5
3120,невинный,gratis,adjectives,0.05
3121,экономика,ecosistema,nouns,0.55
3122,запрещать,detener,verbs,1.65
3123,ответственно,independientemente,adverbs,0.3
3124,газета,información,nouns,2.1
3125,арифметика,lógica,nouns,1.65
3126,организовать,recoger,verbs,1.9
3127,высокомерный,orgulloso,adjectives,3.1
3128,курсор,patatas fritas,nouns,0.1
3129,подозреваемый,hombre,nouns,0.3
3130,орать,chillar,verbs,5.35
3131,обвинять,despreciar,verbs,0.45
3132,мед,lácteos,nouns,0.35
3133,наказать,enseñar,verbs,0.25
3134,принимать,perdonar,verbs,1.95
3135,дом,granero,nouns,0.9
3136,ружье,cuchillo,nouns,1.4
3137,скучный,gracioso,adjectives,0.1
3138,прибывать,asistir,verbs,1.65
3139,сгибание,infección,nouns,0.1
3140,закат,amanecer,nouns,0.6
3141,ненужный,necesario,adjectives,0.15
3142,низ,lado,nouns,0.7
3143,камера,habitación,nouns,0.65
3144,упрямый,estúpido,adjectives,0.7
3145,бедный,solitario,adjectives,0.3
3146,сжиматься,desaparecer,verbs,0.65
3147,инструмент,trabajo,nouns,0.8
3148,цент,esposa,nouns,0.15
3149,лучник,pionero,nouns,0.7
3150,встречаться,reunir,verbs,3.4
3151,хэштег,tema,nouns,2.7
3152,пожар,apocalipsis,nouns,1.0
3153,суд,justicia,nouns,2.15
3154,теория,hipótesis,nouns,3.3
3155,письмо,párrafo,nouns,0.85
3156,крест,monje,nouns,0.8
3157,тренер,jugador,nouns,0.55
3158,обнимать,ahogar,verbs,0.65
3159,задача,isla,nouns,0.05
3160,срок,semestre,nouns,1.45
3161,родитель,adulto,nouns,1.4
3162,грязный,barato,adjectives,0.0
3163,проход,corredor,nouns,4.6
3164,увядать,erosionar,verbs,0.55
3165,происшествие,emergencia,nouns,3.7
3166,жвачка,menta,nouns,0.2
3167,зима,temporada,nouns,2.3
3168,жена,bañera,nouns,0.1
3169,умножение,división,nouns,0.6
3170,следопыт,arquero,nouns,0.7
3171,деньги,capital,nouns,4.2
3172,построение,destrucción,nouns,0.3
3173,доминировать,superar,verbs,2.15
3174,алкоголь,brandy,nouns,2.0
3175,стул,telescopio,nouns,0.1
3176,кандидат,ganador,nouns,1.25
3177,удобрение,crecimiento,nouns,0.5
3178,код,símbolo,nouns,1.7
3179,флейта,música,nouns,1.3
3180,петрушка,mollete,nouns,0.35
3181,писатель,regalo,nouns,0.45
3182,гробница,renacimiento,nouns,0.9
3183,ненормальный,normal,adjectives,0.15
3184,держать,dar,verbs,0.45
3185,оставлять,tomar,verbs,0.25
3186,мускул,hueso,nouns,0.55
3187,растение,agricultura,nouns,0.85
3188,атом,molécula,nouns,1.75
3189,огромный,tonto,adjectives,0.0
