ID,RUS,SWA,PoS,score
2754,персонаж,mhusika,nouns,2.55
2755,нос,pua,nouns,0.85
2756,гол,alama,nouns,0.1
2757,раздражать,kuongeza,verbs,0.0
2758,беспомощный,mnyonge,adjectives,0.75
2759,ноготь,mkono,nouns,0.9
2760,новость,porojo,nouns,1.75
2761,тренери,wakufunzi,nouns,0.45
2762,наказать,kuadhibu,verbs,0.2
2763,соединять,kuambatisha,verbs,0.95
2764,выносливый,mwerevu,adjectives,1.0
2765,вкладывать,kujiunga,verbs,0.95
2766,внебрачный,nje ya ndoa,adjectives,0.05
2767,отражение,picha,nouns,1.6
2768,правило,tawala,nouns,0.6
2769,попкорн,bisi,nouns,0.6
2770,обручаться,kuoa,verbs,2.4
2771,кровать,kitanda cha mtoto,nouns,4.65
2772,локоть,mfupa,nouns,0.7
2773,мед,sukari,nouns,1.85
2774,спутник,ndugu,nouns,1.25
2775,остаток,baki,nouns,1.1
2776,уведомлять,kutambua,verbs,0.55
2777,отец,mtoto wa kiume,nouns,0.7
2778,важный,lazima,adjectives,3.15
2779,вокалист,mtaalamu wa sauti,nouns,0.15
2780,до,kabla,adverbs,0.05
2781,повязка,subira,nouns,0.0
2782,ухудшать,kuzorota,verbs,0.0
2783,игрушка,kichezeo,nouns,0.35
2784,серьезно,kwa umakini,adverbs,0.55
2785,идти,kuja,verbs,0.65
2786,воды,maji,nouns,0.0
2787,абзац,herufi,nouns,0.7
2788,потолок,sakafu,nouns,0.4
2789,флаг,bendera,nouns,0.7
2790,ужин,kuku,nouns,0.55
2791,одежда,kabati,nouns,0.6
2792,большой,mkubwa mno,adjectives,5.2
2793,нога,mkono,nouns,1.1
2794,держать,kupa,verbs,0.2
2795,материнская плата,bodi mama(mama as central),nouns,4.1
2796,луковица,ua,nouns,1.15
2797,задача,njia kuu,nouns,0.2
2798,механизм,injini,nouns,2.95
2799,интеллект,mantiki,nouns,2.65
2800,рабыня,falahi,nouns,2.45
2801,кушетка,baseball,nouns,0.0
2802,флейта,filimbi,nouns,0.95
2803,работник,mwajiri,nouns,0.65
2804,сообщить,arifu,verbs,0.0
2805,покладистый,mwenye kiasi,adjectives,1.5
2806,капитан,mwanamaji,nouns,1.85
2807,сбор пожертвований,mfadhili,nouns,0.45
2808,допущенный,mkubalika,adjectives,2.65
2809,рвать,kuchana,verbs,0.05
2810,формула,kuzidisha,nouns,0.2
2811,ужин,chakula cha asubuhi,nouns,0.55
2812,бедный,maskini,adjectives,0.05
2813,умножать,kugawanya,verbs,0.1
2814,коронация,kusimikwa ufalme,nouns,0.0
2815,течь,kumtiririko,verbs,0.6
2816,ущипнуть,kufinya,verbs,0.5
2817,регулярно,mara kwa mara,adverbs,0.45
2818,полностью,kwa ukamilifu,adverbs,0.65
2819,миллиардер,bilionea,nouns,0.05
2820,заканчивать,kumaliza,verbs,0.9
2821,пистолет,bunduki,nouns,0.0
2822,утомительный,kulivu,adjectives,0.0
2823,размер,mbinu,nouns,0.05
2824,дерматит,ugonjwa wa ngozi,nouns,3.05
2825,глубоко,kiundani,adverbs,0.4
2826,наверное,uwezekano,adverbs,3.2
2827,проем,mlango,nouns,3.25
2828,обвинять,kushtaki,verbs,2.25
2829,младенец,mtoto wa kike,nouns,1.0
2830,недавно,hivi karibuni,adverbs,0.0
2831,желудок,mshipa,nouns,0.4
2832,избирать,kuteua,verbs,0.1
2833,ежемесячный,kila mwezi,adjectives,0.15
2834,создавать,kuharibu,verbs,0.1
2835,певец,mwimbaji,nouns,0.85
2836,чемпион,mshindi,nouns,5.0
2837,бесформенный,kutobadilishwa,adjectives,0.05
2838,срыгивать,kutapika,verbs,0.0
2839,сопло,pua,nouns,0.0
2840,собрание,mkutano,nouns,4.5
2841,стена,pambo,nouns,0.7
2842,язык,koo,nouns,1.0
2843,слово,sentensi,nouns,1.8
2844,обычно,kwa kawaida,adverbs,0.0
2845,куст,ua,nouns,0.75
2846,начать,kuanza,verbs,1.9
2847,грубо,yenye kukwaruza,adverbs,0.25
2848,парень,mtu mzuri,nouns,0.45
2849,глупый,mpumbavu,adjectives,2.08
2850,мята,mti wa minti,nouns,0.15
2851,рассвет,mchana,nouns,1.1
2852,курятина,steki,nouns,0.75
2853,ураган,dhoruba,nouns,4.95
2854,дорожка,njia,nouns,0.45
2855,противоречить,kataa,verbs,0.15
