ID,CMN,POL,PoS,score
2868,冷淡,kruchy,adjectives,0.15
2869,粗糙,niegrzeczny,adjectives,0.57
2870,孤独,biedny,adjectives,0.58
2871,律师,adwokat,nouns,3.79
2872,原谅,ułaskawić,verbs,3.86
2873,离开,brać,verbs,0.0
2874,文化,społeczeństwo,nouns,1.24
2875,气球,ludzie,nouns,0.05
2876,线索,słowo,nouns,0.54
2877,作者,czytelnik,nouns,0.18
2878,其他,przeciwny,adjectives,0.94
2879,向外,przychodzący,adjectives,0.55
2880,注意,ostrożność,nouns,2.98
2881,晚餐,posiłek,nouns,3.93
2882,劝告,sugerować,verbs,3.5
2883,十年,stulecie,nouns,0.44
2884,吉他,skrzypce,nouns,1.07
2885,栅栏,klatka,nouns,1.11
2886,肝,płuco,nouns,0.77
2887,威力,siła,nouns,3.84
2888,颚,kość,nouns,1.42
2889,等待,odchodzić,verbs,0.18
2890,工作者,aparat,nouns,0.2
2891,酒,zespół,nouns,0.0
2892,石,drewno,nouns,0.15
2893,演员,telewizja,nouns,0.72
2894,踢,ranić,verbs,0.96
2895,庆祝,zaskoczyć,verbs,0.43
2896,小麦粉,chleb,nouns,1.17
2897,海啸,morze,nouns,1.03
2898,组织,zbierać,verbs,1.69
2899,不经常,często,adverbs,0.18
2900,讨厌,krytykować,verbs,1.03
2901,老鼠,kierownictwo,nouns,0.05
2902,听,uczyć się,verbs,0.53
2903,阵列,lista,nouns,1.08
2904,新娘,pan młody,nouns,0.78
2905,发送,przynieść,verbs,0.04
2906,允许,erodować,verbs,0.0
2907,学生,uczeń,nouns,4.25
2908,尖顶,kaplica,nouns,0.61
2909,通常,szczerze,adverbs,0.3
2910,地板,pokład,nouns,2.38
2911,逃走,umknąć,verbs,5.67
2912,简直,najwyraźniej,adverbs,1.15
2913,生态系统,ekonomia,nouns,0.05
2914,叶,siewka,nouns,0.51
2915,暴风雪,deszcz,nouns,0.92
2916,意见,skłonność,nouns,0.34
2917,自行车,skóra,nouns,0.0
2918,偷,nabyć,verbs,1.04
2919,打中,chybić,verbs,0.23
2920,追求,zbadać,verbs,0.29
2921,唇,biodro,nouns,0.1
2922,疏忽,wyrzec się,verbs,0.6
2923,敬礼,występować,verbs,0.05
2924,男人,kobieta,nouns,0.28
2925,任命,obierać,verbs,0.87
2926,负面地,nienaturalnie,adverbs,0.19
2927,出席,argumentować,verbs,0.09
2928,牛油,ziemniak,nouns,0.34
2929,马赛克,bazylika,nouns,0.2
2930,出席,wysyłać,verbs,0.0
2931,雪,pogoda,nouns,1.01
2932,蜥蜴,rząd,nouns,0.0
2933,拉,pchać,verbs,0.47
2934,旗,słup,nouns,0.79
2935,飞机,helikopter,nouns,2.08
2936,大方,miły,adjectives,1.4
2937,低语,mówić,verbs,2.6
2938,打招呼,spotykać,verbs,0.68
2939,目标,strzała,nouns,0.52
2940,能力,kompetencja,nouns,4.14
2941,完成,wygrać,verbs,2.09
2942,覆盖着,ubrany,adjectives,2.28
2943,早餐,bekon,nouns,0.78
2944,死,pochować,verbs,1.69
2945,政府,jaszczurka,nouns,0.0
2946,大致,grubo,adverbs,0.66
2947,和平地,chaotycznie,adverbs,0.0
2948,牛肉,bydło,nouns,3.21
2949,探索,ignorować,verbs,0.0
2950,选择,rozdział,nouns,0.2
2951,同意,kłócić się,verbs,0.18
2952,乐队,trunek,nouns,0.0
2953,水,lód,nouns,1.59
2954,參加,współpracować,verbs,0.82
2955,假,prawdziwy,adjectives,0.14
2956,电脑,dysk,nouns,0.93
2957,日历,data,nouns,2.06
2958,丑陋,prymitywny,adjectives,0.68
2959,天气,śnieg,nouns,1.01
2960,无礼,prymitywny,adjectives,0.57
2961,苍蝇,mrówka,nouns,0.92
2962,舌头,policzek,nouns,0.3
2963,选举,mianować,verbs,0.87
2964,咬,walczyć,verbs,1.31
2965,球,kostium,nouns,0.24
2966,尖,tępy,adjectives,0.09
2967,社会生物学,mutant,nouns,0.38
2968,国王,nepotyzm,nouns,0.53
2969,奖章,adidasy,nouns,0.1
2970,可能,optymistycznie,adverbs,0.63
2971,剑,tron,nouns,0.28
2972,迅速,pośpieszny,adjectives,4.95
2973,接受,odrzucić,verbs,0.23
2974,国会,parlament,nouns,2.56
2975,拒绝,unikać,verbs,0.48
2976,肺,wątroba,nouns,0.77
2977,上面,spód,nouns,0.04
2978,女人,dżinsy,nouns,0.04
2979,签证,globalizm,nouns,0.36
2980,加,dzielić,verbs,0.23
2981,推荐,radzić,verbs,3.66
2982,可能,prawdopodobnie,adverbs,4.48
2983,耐力,zespół,nouns,0.0
2984,不准确地,dokładnie,adverbs,0.18
2985,暴力,rozzłoszczony,adjectives,2.21
2986,衣服,tkanina,nouns,1.73
2987,海滩,rafa,nouns,0.34
2988,技巧,inteligencja,nouns,2.28
2989,风暴,chmura,nouns,0.81
2990,脏,wąski,adjectives,0.0
2991,年轻,niespokojny,adjectives,0.4
2992,温和,ostry,adjectives,0.0
2993,英式足球,piłka nożna,nouns,4.83
2994,任务,wyspa,nouns,0.0
2995,红酒,trunek,nouns,3.8
2996,钝,ostry,adjectives,0.09
2997,血液,ciało,nouns,0.71
2998,概念,przekonanie,nouns,1.44
2999,街,samochód,nouns,0.29
3000,暗礁,plaża,nouns,0.34
3001,分子,powietrze,nouns,0.68
3002,手表,spódnica,nouns,0.05
3003,旗,weksylologia,nouns,0.92
3004,电视,komunikacja,nouns,0.6
3005,肯定,pewien,adjectives,4.64
3006,妻子,matka,nouns,1.69
3007,扼杀,przytłaczać,verbs,0.6
3008,观看,obserwować,verbs,4.48
3009,鼓,gitara,nouns,0.63
