ID,HEB,YUE,PoS,score
2831,לרצות,慾望,verbs,3.82
2832,בעצב,猛烈地,adverbs,0.55
2833,רגל,沙漠,nouns,0.29
2834,דלת,地板,nouns,0.68
2835,ללכת,進入,verbs,0.67
2836,קר,普通,adjectives,0.2
2837,פיכח,醉酒,adjectives,0.59
2838,תעשייה,商業,nouns,2.32
2839,מסדרון,門,nouns,0.88
2840,אנציקלופדיה,字典,nouns,2.42
2841,לחבוט,捏,verbs,0.57
2842,לא אמין,狡詐,adjectives,2.32
2843,לקרוא,咬,verbs,0.09
2844,ציפורן,頭,nouns,0.39
2845,עצום,小,adjectives,0.55
2846,שיעור,混亂,nouns,0.1
2847,מסך,音系學,nouns,0.15
2848,תוף,喇叭,nouns,0.73
2849,עובד,雇主,nouns,1.02
2850,יד,腳,nouns,1.56
2851,מיומנות,智力,nouns,1.79
2852,צופר,車,nouns,0.74
2853,ביקורתי,無禮貌,adjectives,0.82
2854,יוצא,進來,adjectives,0.6
2855,מותן,一餐,nouns,0.4
2856,להקיא,關閉,verbs,0.05
2857,בשר,血液,nouns,0.88
2858,ייתכן,大概,adverbs,4.05
2859,ספר,聖經,nouns,1.21
2860,ארוך,狹窄,adjectives,1.22
2861,לבקר,討厭,verbs,0.53
2862,בגאווה,謙遜地,adverbs,0.64
2863,בגדים,大褸,nouns,2.18
2864,פחית,瓶子,nouns,2.13
2865,מושב,銀行,nouns,0.05
2866,בדחיפות,迅速地,adverbs,3.46
2867,רך,暴力,adjectives,0.35
2868,צר,寬大,adjectives,0.59
2869,עשב,大麻,nouns,2.59
2870,בשר,三明治,nouns,0.64
2871,מנוע,機器,nouns,2.24
2872,נרגש,受驚,adjectives,0.88
2873,להצטרף,離開,verbs,0.5
2874,נוסחה,日誌,nouns,0.2
2875,סירה,車,nouns,1.03
2876,אלכוהול,葡萄酒,nouns,2.92
2877,בעדינות,大聲地,adverbs,0.24
2878,לגיון,軍隊,nouns,3.13
2879,להחסיר,失去,verbs,2.27
2880,בדרך כלל,異常地,adverbs,0.45
2881,אמונה,印象,nouns,0.72
2882,דרך,方式,nouns,4.53
2883,לעיתים קרובות,不經常,adverbs,0.6
2884,ראש,腳,nouns,0.69
2885,לוחם,男人,nouns,1.4
2886,מושחת,非法,adjectives,2.42
2887,הכחשה,坦白,nouns,0.57
2888,מילה,字典,nouns,1.31
2889,משונה,奇怪,adjectives,4.32
2890,מנזר,沖涼,nouns,0.0
2891,תקשורת,語言,nouns,1.63
2892,סיוף,體操,nouns,0.93
2893,מרוץ,週末,nouns,0.05
2894,סיר,器具,nouns,1.64
2895,זריז,迅速,adjectives,5.33
2896,ארוחת בוקר,晚餐,nouns,2.5
2897,להקה,酒,nouns,0.0
2898,חזק,自豪,adjectives,0.33
2899,סרט,虛無主義,nouns,0.24
2900,מידה,量,nouns,3.77
2901,כשירות,能力,nouns,4.05
2902,מורה,教練,nouns,3.59
2903,משעמם,沈悶,adjectives,4.32
2904,בשקט,被動地,adverbs,0.87
2905,לרצות,娛樂,verbs,0.34
2906,נורא,偉大,adjectives,0.49
2907,בן,父親,nouns,1.68
2908,קהה,尖,adjectives,0.89
2909,צדק,權利,nouns,0.78
2910,קנה סוכר,聯合,nouns,0.25
2911,הודו,鳥,nouns,1.94
2912,מחלה,發炎,nouns,1.7
2913,תאונה,緊急情況,nouns,2.69
2914,סמל,標誌,nouns,4.26
2915,קרסול,窗口,nouns,0.09
2916,בנדיבות,好心地,adverbs,2.98
2917,קפיצה,籬笆,nouns,0.35
2918,ללבוש,撕開,verbs,0.15
2919,לנשל,疏忽,verbs,0.55
2920,רהיט,床,nouns,2.42
2921,לטגן,煮,verbs,1.46
2922,בקלות,明亮地,adverbs,0.54
2923,מפתח,王冠,nouns,0.04
2924,בגסות,大致,adverbs,1.67
2925,רושם,信念,nouns,0.72
2926,מסע,旅行,nouns,4.55
2927,אלון,楓木,nouns,2.5
2928,להשאיל,想要,verbs,0.19
2929,חד,溫和,adjectives,0.45
2930,מהדר,子程序,nouns,1.08
2931,גדול,寬廣,adjectives,2.56
2932,ברידג',卡,nouns,0.7
2933,אישי,私人,adjectives,4.46
2934,מנצח,冠軍,nouns,3.98
2935,חורף,夏天,nouns,0.79
2936,אוזון,大氣層,nouns,3.38
2937,מוטציה,社會生物學,nouns,0.54
2938,תשלום,紙幣,nouns,0.28
2939,לגנוב,獲得,verbs,0.92
2940,סטייק,肉,nouns,3.84
2941,חופש,自由,nouns,5.17
2942,שלב,得分,nouns,0.77
2943,ללמוד,忘記,verbs,0.49
2944,הונאה,犯罪,nouns,2.47
2945,עכבר,貓,nouns,0.89
2946,מסיכה,派對,nouns,0.58
2947,לשון,肌肉,nouns,0.83
2948,חומץ,沙拉,nouns,0.78
2949,קינמון,糖果,nouns,0.78
2950,סטודנט,教授,nouns,0.73
2951,להפציר,請,verbs,0.53
2952,חלון,踝,nouns,0.09
2953,טרף,神,nouns,0.05
2954,ללכת,跛行,verbs,2.07
2955,לשתות,吞,verbs,1.35
2956,הרמוניה,鋼琴,nouns,0.82
2957,מורה,朋友,nouns,0.91
2958,לקבוע,預測,verbs,0.55
2959,פתח,缺口,nouns,3.66
2960,להכחיש,避免,verbs,0.73
2961,נמרצות,高高興興,adverbs,0.76
2962,עורך דין,檢察官,nouns,3.02
2963,תסריטאי,電視,nouns,1.06
2964,מלגה,學費,nouns,1.02
2965,ניטרלי,未定,adjectives,0.96
2966,צוות,歌手,nouns,0.23
2967,להבהיר,說明,verbs,3.96
2968,פגישה,訂婚,nouns,0.9
2969,שעון,裙子,nouns,0.34
2970,תעלול,沖涼,nouns,0.04
2971,לעשות,發生,verbs,0.74
2972,מוגן,乏味,adjectives,0.15
2973,להרוס,殺,verbs,2.04
2974,להיפצע,跌,verbs,0.93
2975,לתאר,決定,verbs,0.2
2976,מקלחת,修道院,nouns,0.0
2977,חדר שינה,單車,nouns,0.15
2978,עיתון,字,nouns,1.25
2979,משכורת,費用,nouns,1.09
2980,רובה,大炮,nouns,2.34
2981,לשכוח,保留,verbs,0.49
2982,יופי,十四行詩,nouns,0.2
2983,באופן שלילי,非自然,adverbs,0.86
2984,סבולת,花朵,nouns,0.04
2985,גאווה,喜悅,nouns,2.18
2986,עץ,船,nouns,0.6
2987,לחם,小麥粉,nouns,1.07
2988,לתאר,通知,verbs,0.45
2989,לחוץ,輕鬆,adjectives,0.68
2990,לחשוב,決定,verbs,0.77
2991,פרח,忍耐力,nouns,0.04
2992,צוואר,手臂,nouns,0.88
2993,צונאמי,海,nouns,1.52
2994,חיסכון,儲蓄者,nouns,1.1
2995,מטוס,大薄片,nouns,0.36
2996,קתדרלה,教堂,nouns,4.78
2997,אבא,家長,nouns,3.25
2998,לשרוק,停,verbs,0.24
2999,עצוב,自豪,adjectives,0.25
3000,להרוג,毀滅,verbs,2.04
3001,ארוחה,煙肉,nouns,0.92
3002,לשחק,搏鬥,verbs,1.03
3003,תאגיד,企業,nouns,3.31
3004,חזק,弱,adjectives,0.55
3005,חיידק,病原,nouns,3.16
