ID,POL,YUE,PoS,score
2855,zezwalać,反駁,verbs,0.0
2856,morze,海嘯,nouns,1.21
2857,kaplica,電纜,nouns,0.05
2858,trzcina cukrowa,聯合,nouns,0.05
2859,brać,偷,verbs,0.82
2860,argument,批評,nouns,1.68
2861,łatwy,困難,adjectives,0.04
2862,glob,世界,nouns,4.29
2863,mieszkanie,酒店,nouns,1.55
2864,dzielić,加,verbs,0.36
2865,prawdziwie,重要地,adverbs,1.03
2866,prysznic,修道院,nouns,0.0
2867,koniak,酒,nouns,3.47
2868,alfabet,鋼筆,nouns,0.05
2869,pistolet,刀,nouns,1.3
2870,tępy,醒目,adjectives,0.28
2871,córka,孩子,nouns,2.15
2872,zamówienie,菜單,nouns,0.91
2873,polecić,建議,verbs,3.2
2874,czasem,肯定地,adverbs,0.0
2875,przekonanie,價值觀,nouns,2.63
2876,chodzić,站立,verbs,0.18
2877,bazgrać,寫,verbs,3.17
2878,ilustracja,起泡,nouns,0.04
2879,akceptować,拒絕,verbs,0.34
2880,port,包裝紙,nouns,0.1
2881,acetylocholina,鳶尾花,nouns,0.3
2882,nić,紗,nouns,3.36
2883,zakładać się,賭,verbs,3.3
2884,chojnie,從未,adverbs,0.04
2885,celować,打中,verbs,1.29
2886,fleksja,感染,nouns,0.14
2887,stracić,保持,verbs,0.04
2888,kwiat,紫羅蘭,nouns,3.52
2889,republika,公爵,nouns,0.18
2890,ekosystem,經濟,nouns,0.18
2891,ramię,骨頭,nouns,0.63
2892,liczba,數字,nouns,4.3
2893,menu,點菜,nouns,0.91
2894,bogactwo,貧困,nouns,0.24
2895,kierownictwo,管理,nouns,3.54
2896,nowy,沒用過,adjectives,4.83
2897,niechlujny,井然有序,adjectives,0.09
2898,cygaro,煙鬥,nouns,0.24
2899,wydarzenie,募捐活動,nouns,0.58
2900,marnie,謙遜地,adverbs,0.18
2901,kot,狗,nouns,0.37
2902,pstrąg,吉他,nouns,0.0
2903,głodny,渴,adjectives,1.54
2904,zabić,絞刑,verbs,2.58
2905,płot,軌,nouns,0.3
2906,mech,草,nouns,1.82
2907,pomocnik,老師,nouns,0.38
2908,ballada,歌曲,nouns,3.98
2909,zespół,耐力,nouns,0.0
2910,rozzłoszczony,開心,adjectives,0.18
2911,pociąg,電車,nouns,2.17
2912,muzyka,長笛,nouns,1.13
2913,szybkość,郵件,nouns,0.0
2914,prawo wyborcze,出口,nouns,0.1
2915,pasywnie,積極地,adverbs,0.1
2916,profesor,醫生,nouns,0.97
2917,chłopiec,兒童,nouns,2.64
2918,teleskop,頭腦風暴,nouns,0.04
2919,zakopać,冚住,verbs,2.58
2920,subtelnie,冷靜地,adverbs,1.66
2921,huragan,暴風雨,nouns,2.83
2922,skakanie,籬笆,nouns,0.1
2923,wąski,長,adjectives,0.42
2924,prognoza,灰濛蒙,nouns,0.19
2925,kurz,掃帚,nouns,0.56
2926,wstrząs,地震,nouns,3.87
2927,realistycznie,最近,adverbs,0.32
2928,ignorować,忘記,verbs,1.93
2929,płaszcz,帽子,nouns,0.38
2930,komunikować,祈禱,verbs,0.34
2931,kabel,巫師,nouns,0.0
2932,obiecywać,發誓,verbs,4.07
2933,rozmiar,一分錢,nouns,0.04
2934,piłka,手套,nouns,0.19
2935,karta,橋,nouns,0.5
2936,tępy,傻,adjectives,4.71
2937,pokornie,自豪的,adverbs,0.24
2938,afiks,後綴,nouns,0.98
2939,rywalizować,完成,verbs,0.14
2940,obszar,區城,nouns,4.64
2941,szalenie,大聲地,adverbs,1.17
2942,jednoczyć,結婚,verbs,1.13
2943,uczeń,總統,nouns,0.04
2944,osiągnąć,嘗試,verbs,0.38
2945,chleb,小麥粉,nouns,0.62
2946,deputowany,軍官,nouns,0.84
2947,niszczyć,保留,verbs,0.04
2948,pestycyd,蟲害,nouns,1.11
2949,matka,爸爸,nouns,1.36
2950,czekać,離開,verbs,0.0
