ID,FRA,HEB,PoS,score
2803,couloir,מעבר,nouns,4.15
2804,pied,חול,nouns,0.55
2805,appareil photo,נשיא,nouns,0.1
2806,haricot,בייקון,nouns,1.15
2807,ascenseur,מכונית,nouns,0.75
2808,tante,אחיין,nouns,1.9
2809,poulet,אורז,nouns,1.25
2810,apporter,להתלונן,verbs,0.1
2811,frustration,כעס,nouns,3.4
2812,convaincre,לנסות,verbs,1.1
2813,terne,משועמם,adjectives,1.65
2814,apporter,להחזיר,verbs,0.7
2815,soldat,שלום,nouns,1.1
2816,appartement,מלון,nouns,2.1
2817,faux,מדוייק,adjectives,0.75
2818,sauver,לבזבז,verbs,0.75
2819,île,משימה,nouns,0.05
2820,étranger,חייזר,nouns,2.85
2821,calmement,בשלווה,adverbs,4.9
2822,bétail,פרה,nouns,4.15
2823,créer,לעשות,verbs,4.5
2824,réduire,להנמיך,verbs,4.25
2825,enjoué,שמח,adjectives,5.1
2826,transporter,להרים,verbs,1.95
2827,dangereusement,בזהירות,adverbs,0.85
2828,élever,לשתות,verbs,0.05
2829,chat,ארנב,nouns,1.6
2830,air,מולקולה,nouns,1.8
2831,permettre,לאשר,verbs,4.15
2832,plus tard,לעולם לא,adverbs,1.35
2833,aptitude,כוח,nouns,3.05
2834,oasis,חופש,nouns,0.45
2835,remarquer,לבקר,verbs,2.7
2836,angle,עקומה,nouns,2.65
2837,cuisine,דלת,nouns,0.9
2838,paille,רעיה,nouns,0.1
2839,homme,אישה,nouns,2.2
2840,coureur,ספורטאי,nouns,3.05
2841,recommander,לקבל,verbs,1.05
2842,couloir,מסדרון,nouns,5.65
2843,décoration,קיר,nouns,1.3
2844,dériver,לזרום,verbs,2.75
2845,liste,מערך,nouns,3.0
2846,écran,מוניטור,nouns,4.8
2847,copain,רע,nouns,5.6
2848,robotique,סימולציה,nouns,1.35
2849,nerf,גוף,nouns,1.3
2850,colline,צוק,nouns,2.5
2851,acteur,זמר,nouns,2.25
2852,pied,ראש,nouns,1.65
2853,errer,לעזוב,verbs,0.95
2854,brandy,יין,nouns,3.0
2855,division,כפל,nouns,2.4
2856,faire,ליצור,verbs,4.5
2857,déjeuner,ארוחת ערב,nouns,2.6
2858,maison,אסם,nouns,1.9
2859,société,עסק,nouns,2.8
2860,dîner,תרנגולת,nouns,1.25
2861,ordonné,מבולגן,adjectives,1.5
2862,fille,תינוקת,nouns,2.9
2863,fracasser,להרוס,verbs,4.8
2864,conspirateur,אסטרטג,nouns,3.4
2865,rapidement,בדחיפות,adverbs,3.75
2866,infini,אפס,nouns,1.7
2867,commencer,התחיל,verbs,5.65
2868,mortellement,באושר,adverbs,0.45
2869,emprunteur,אשראי,nouns,1.75
2870,emprunter,למכור,verbs,1.3
2871,racine,דשא,nouns,1.95
2872,arrière-plan,טפט,nouns,3.3
2873,prendre,להחזיק,verbs,2.3
2874,honteux,עצוב,adjectives,1.2
2875,ordinaire,שגרתי,adjectives,5.7
2876,débattre,לנמק,verbs,3.4
2877,étrange,תמוה,adjectives,5.4
2878,basket,בייסבול,nouns,2.65
2879,chaise,ספה,nouns,2.9
2880,savoir,להבין,verbs,1.25
2881,cours,תמימות דעים,nouns,1.25
2882,entropie,מידע,nouns,1.7
2883,gaspiller,לדאוג,verbs,0.25
2884,dépendre,לסמוך,verbs,3.6
2885,flic,שריף,nouns,4.2
2886,autoroute,מכונית,nouns,1.85
2887,notifier,לתאר,verbs,1.15
2888,jardin,צינור,nouns,1.15
2889,se disputer,להתלונן,verbs,2.0
2890,donner,לנשל,verbs,0.55
2891,écrivain,כישרון,nouns,0.9
2892,marin,חובל,nouns,3.8
2893,doucement,בנחישות,adverbs,0.9
2894,échouer,לסמוך,verbs,0.4
2895,flore,טבע,nouns,3.05
2896,savoir,לתת,verbs,0.3
2897,fantastique,מציאות,nouns,1.6
2898,enseignant,תלמיד,nouns,2.05
2899,chaise,טלסקופ,nouns,0.35
2900,réceptacle,עכבר,nouns,0.05
2901,enthousiasmé,מבוהל,adjectives,1.35
2902,chien,שועל,nouns,2.1
2903,tunnel,שביל,nouns,1.8
