ID,EST,POL,PoS,score
2732,loll,pojętny,adjectives,0.25
2733,innovatiivne,kreatywny,adjectives,3.85
2734,münt,płatność,nouns,1.55
2735,abikaasa (naine),dziura,nouns,0.05
2736,värske,stary,adjectives,0.1
2737,käsi,kość,nouns,1.1
2738,konteiner,mysz,nouns,0.25
2739,väiksevõitu,karłowaty,adjectives,3.6
2740,isiklik,intymny,adjectives,3.8
2741,rahulikult,pokojowo,adverbs,4.25
2742,kaine,pijany,adjectives,0.3
2743,troon,miecz,nouns,0.35
2744,sõiduk,autobus,nouns,2.85
2745,täpne,błędny,adjectives,0.25
2746,korv,piłka,nouns,0.7
2747,karm,łatwy,adjectives,0.05
2748,nõudma,argumentować,verbs,1.0
2749,raha,gotówka,nouns,5.05
2750,raev,gniew,nouns,4.6
2751,ebaviisakas,agresywny,adjectives,2.5
2752,kandma,przynieść,verbs,2.2
2753,hütt,domek,nouns,4.7
2754,sekund,minuta,nouns,1.3
2755,tsink,złoto,nouns,0.8
2756,eellane,przeszłość,nouns,1.35
2757,kaart,brydż,nouns,0.65
2758,kohut mõistma,oskarżać,verbs,3.65
2759,koridor,hol,nouns,4.8
2760,kahtlemata,pewnie,adverbs,4.8
2761,bioloog,mikroskop,nouns,0.95
2762,üritus,kwestarz,nouns,0.8
2763,üdi,krew,nouns,0.95
2764,jagama,dodawać,verbs,0.15
2765,kallistama,tulić,verbs,4.85
2766,rahustama,poniżać,verbs,0.0
2767,ümber lükkama,zezwalać,verbs,0.0
2768,abielluma,angażować,verbs,1.2
2769,klubi,znak,nouns,0.35
2770,buss,taksówka,nouns,1.45
2771,raamat,informacja,nouns,1.0
2772,hoidma,posiadać,verbs,2.05
2773,leidma,zlokalizować,verbs,3.25
2774,sünnipäev,data,nouns,1.95
2775,varras,zasłona,nouns,0.15
2776,muu,przeciwny,adjectives,1.05
2777,šovinist,uprzedzenie,nouns,1.3
2778,rikkumine,przestępstwo,nouns,3.6
2779,uus,świeży,adjectives,4.25
2780,jääma,odchodzić,verbs,0.25
2781,kindel,pewien,adjectives,4.5
2782,pööraselt,smutno,adverbs,0.3
2783,tädi,siostrzeniec,nouns,1.05
2784,kana,kolacja,nouns,0.5
2785,hindama,uczyć się,verbs,1.3
2786,jumal,duch,nouns,1.45
2787,unustama,ignorować,verbs,1.5
2788,ilm,fala,nouns,0.25
2789,püüdma,uwalniać,verbs,0.4
2790,ratas,skóra,nouns,0.1
2791,rannik,kanonierka,nouns,0.35
2792,heledus,gwiazda,nouns,1.25
2793,lugeja,autor,nouns,0.5
2794,autojuht,pilot,nouns,2.05
2795,pilv,jezioro,nouns,0.4
2796,teesklema,wyobrażać sobie,verbs,1.75
2797,portreteerima,powiadamiać,verbs,0.75
2798,mitte kunagi,później,adverbs,0.35
2799,kloppima,miksować,verbs,1.1
2800,lööma,pociągać,verbs,0.3
2801,arst,doktor,nouns,5.2
2802,lend,lotnictwo,nouns,1.9
2803,tunnistama,mówić,verbs,1.0
2804,professor,student,nouns,0.8
2805,õigus,szkoła,nouns,0.3
2806,jakk,sweter,nouns,1.25
2807,näima,udawać,verbs,1.65
2808,rumal,tępy,adjectives,4.7
2809,auto,miernik,nouns,0.6
2810,ajakiri,artykuł,nouns,1.45
2811,president,aparat,nouns,0.2
2812,vaidlus,porozumienie,nouns,0.7
2813,diivan,baseball,nouns,0.1
2814,essee,książka,nouns,1.15
2815,uks,korytarz,nouns,0.9
2816,märge,zlecenie,nouns,0.55
2817,raamat,wypadek,nouns,0.05
2818,valima,decydować,verbs,4.0
2819,meel,intuicja,nouns,3.7
2820,suu,nos,nouns,0.95
2821,vitamiin,żelazo,nouns,0.95
2822,rüüpama,przełykać,verbs,1.6
2823,kaaslane,kumpel,nouns,4.35
2824,orkaan,burza,nouns,3.05
2825,pärima,szukać,verbs,1.7
2826,suusatamine,snowboard,nouns,1.95
2827,pirukas,czekolada,nouns,0.6
2828,lind,kura,nouns,2.55
2829,pöörane,niepoczytalny,adjectives,4.95
2830,kohalolek,zwycięzca,nouns,0.4
2831,sõdur,chłopiec,nouns,0.4
2832,looma,budować,verbs,3.9
2833,unustama,zatrzymywać,verbs,0.6
2834,toit,program,nouns,0.15
2835,halb,winny,adjectives,1.7
2836,mitte kunagi,rzadko,adverbs,0.6
2837,iseseisvalt,odpowiedzialnie,adverbs,1.2
2838,lennuk,płachta,nouns,0.4
2839,rohumaa,łąka,nouns,4.25
2840,vastutustundetu,niedojrzały,adjectives,3.25
2841,müüma,pożyczać,verbs,0.3
2842,küüs,kciuk,nouns,1.1
2843,uurima,oglądać,verbs,3.95
2844,sild,karta,nouns,0.65
2845,bänd,trunek,nouns,0.3
2846,halb,nieuczciwy,adjectives,2.45
2847,ohver,telefon,nouns,0.15
2848,muutmine,wysokość,nouns,0.3
2849,nurk,krzywa,nouns,1.1
2850,põld,owies,nouns,1.4
2851,külm,zwyczajny,adjectives,0.2
2852,liit,suma,nouns,1.35
2853,kummaline,dziwaczny,adjectives,5.5
2854,unustama,wybaczać,verbs,1.4
2855,ball,kostium,nouns,0.9
2856,naine,żona,nouns,2.95
2857,pärima,wymagać,verbs,0.6
2858,relv,ludzie,nouns,0.05
2859,võti,korona ,nouns,0.5
2860,avalikustamata,jawny,adjectives,0.35
2861,lärm,rakieta,nouns,0.55
2862,magma,wulkan,nouns,1.8
2863,uudised,plotka,nouns,1.95
2864,ajurünnak,teleskop,nouns,0.0
2865,terav,tępy,adjectives,0.35
2866,mäng,akcja,nouns,1.55
2867,soovima,pragnąć,verbs,4.95
2868,etendus,matematyk,nouns,0.05
2869,ärritama,zranić,verbs,1.85
2870,kiir,światło słoneczne,nouns,2.25
2871,moslem,biskup,nouns,0.5
2872,õnnelikult,aktywnie,adverbs,1.05
2873,vihkama,krytykować,verbs,1.4
2874,omandama,złączyć,verbs,0.35
2875,räpane,niesamowity,adjectives,0.25
2876,pikk,krótki,adjectives,0.25
2877,kalju,ogon,nouns,0.0
2878,sekretär,kobieta,nouns,1.55
2879,parapsühholoogia,neuropsychologia,nouns,1.2
2880,aktiivselt,precyzyjnie,adverbs,0.55
2881,täiskasvanu,dziecko,nouns,0.5
2882,kurb,śmieszny,adjectives,0.35
2883,pära,tył,nouns,3.05
2884,kriitika,argument,nouns,1.1
2885,väide,krytyka,nouns,1.1
2886,viski,szampan,nouns,1.15
2887,kõristi,hałas,nouns,2.3
2888,riided,kurtka,nouns,1.95
2889,ebaregulaarselt,zwykle,adverbs,0.25
2890,šokolaad,placek,nouns,0.6
2891,mees,wojownik,nouns,1.55
2892,pettus,korupcja,nouns,3.5
2893,vajama,dowiadywać się,verbs,0.6
2894,hädaolukord,wypadek,nouns,3.25
2895,eriline,wartościowy,adjectives,2.7
2896,kindlalt,czasem,adverbs,0.1
2897,lõug,kość,nouns,1.1
2898,riis,kurczak,nouns,0.45
2899,teras,stop ,nouns,2.8
2900,kena,towarzyski,adjectives,2.35
2901,ingel,demon,nouns,0.8
2902,maasikas,wiśnia,nouns,1.75
2903,riided,guzik,nouns,0.7
2904,sadam,opakowanie,nouns,0.05
2905,takso,autobus,nouns,1.45
2906,õiglaselt,dojrzale,adverbs,1.35
2907,tütar,ojciec,nouns,0.75
2908,lämmatama,przytłaczać,verbs,1.6
2909,laadija,dysk,nouns,0.35
2910,rahu,szczęście,nouns,2.25
2911,auto,automobil,nouns,5.2
2912,pilvelõhkuja,pałac,nouns,1.1
2913,teenija,niewolnik,nouns,2.7
2914,terav,gładki,adjectives,0.55
2915,ebatäpselt,dokładnie,adverbs,0.25
2916,anuma,zadowalać,verbs,0.1
2917,looma,wyobrażać sobie,verbs,2.05
2918,etteaste,kamea,nouns,0.55
2919,ausalt,szczerze,adverbs,4.95
2920,madu,jaszczurka,nouns,1.3
2921,lahingulaev,drednot,nouns,4.55
2922,soodne,tani,adjectives,5.45
2923,tagasihoidlikult,dumnie,adverbs,0.4
2924,kallas,plaża,nouns,3.75
2925,liblikas,róża,nouns,0.3
2926,talv,pora roku,nouns,3.25
2927,tuli,apokalipsa,nouns,0.95
2928,tehas,samochód,nouns,0.35
2929,haigusetekitaja,zarazek,nouns,4.0
2930,osalema,powiedzieć,verbs,0.35
2931,intelligentsus,logika,nouns,2.35
2932,kena,hojny,adjectives,1.5
2933,kohtlema,płacić,verbs,0.35
2934,ebaküps,dorosły,adjectives,0.2
2935,sõnaraamat,definicja,nouns,1.7
2936,vägi,siła,nouns,4.05
2937,kerge,sztywny,adjectives,0.05
2938,mulje,przekonanie,nouns,1.6
2939,august,miesiąc,nouns,2.0
2940,vili,kukurydza,nouns,1.35
2941,katus,sufit,nouns,2.8
2942,poeg,brat,nouns,0.95
2943,ettevaatlikult,bezpiecznie,adverbs,3.65
2944,harima,uczyć się,verbs,3.55
2945,vesi,koronacja,nouns,0.1
2946,uppuma,ratować,verbs,0.4
2947,artikkel,czasopismo,nouns,1.45
2948,rind,ciało,nouns,1.85
2949,riided,szuflada,nouns,0.65
2950,taastama,zastąpić,verbs,0.95
2951,pidu,maska,nouns,0.7
2952,meel,neuroza,nouns,0.9
2953,uhke,śmiały,adjectives,1.55
2954,kokku hoidma,wydawać,verbs,0.4
2955,org,rzeka,nouns,0.95
2956,kampsun,koszula,nouns,1.4
2957,rahul,obłąkany,adjectives,0.3
2958,demokraatia,monarchia,nouns,0.9
2959,mootor,łódź,nouns,0.6
2960,kaine,racjonalny,adjectives,3.35
2961,hävitama,tworzyć,verbs,0.3
2962,erinev,normalny,adjectives,0.5
2963,aitama,pytać,verbs,0.45
2964,protestant,chrześcijanin,nouns,2.55
2965,naine,futro,nouns,0.2
2966,emotsioon,nastrój,nouns,3.9
2967,väljapääs,prawo wyborcze,nouns,0.2
2968,saba,miska,nouns,0.0
2969,kampaania,małpa,nouns,0.05
2970,teenijanna,pomocnik,nouns,2.05
2971,tahe,intencja,nouns,3.5
2972,looja,autor,nouns,5.6
2973,hobune,wół,nouns,1.45
2974,laager,domek,nouns,0.85
2975,valik,opinia,nouns,0.9
2976,tulema,iść,verbs,1.25
2977,peatuma,ostrzegać,verbs,0.35
2978,asteroid,gwiazda,nouns,1.8
2979,kood,symbol,nouns,1.9
2980,lugu,ołówek,nouns,0.3
2981,targalt,dojrzale,adverbs,3.05
2982,lahkuma,przybywać,verbs,0.4
2983,kergelt,pobieżnie,adverbs,0.6
2984,pööraselt,głośno,adverbs,1.3
2985,sisalik,rząd,nouns,0.0
2986,puuvill,poliester,nouns,0.8
2987,tark,tępy,adjectives,0.35
2988,kombinatsioon,unia,nouns,1.75
2989,bänd,wytrzymałość,nouns,0.15
2990,vihane,gwałtowny,adjectives,2.4
2991,nädalavahetus,tydzień,nouns,1.15
2992,aktsepeerima,zaprzeczać,verbs,0.15
2993,vend,siostra,nouns,0.95
2994,õnn,pokój,nouns,2.25
2995,umbes,oczywiście,adverbs,0.2
2996,poeg,chłopiec,nouns,2.6
2997,päästma,topić,verbs,0.4
2998,tihti,rzadko,adverbs,0.3
2999,tass,łyżka,nouns,0.8
3000,tee,szosa,nouns,4.8
3001,reis,podróż,nouns,5.0
3002,põlgama,nienawidzić,verbs,4.35
3003,ebaaus,okrutny,adjectives,1.95
3004,paber,drewno,nouns,1.2
3005,põhimõtteliselt,zupełnie,adverbs,1.5
3006,lagi,katedra,nouns,0.75
3007,müüma,przypominać,verbs,0.0
3008,biotoop,biologia,nouns,0.85
3009,rahulik,zrelaksowany,adjectives,3.9
3010,abielluma,złączyć,verbs,2.0
3011,kalender,święto,nouns,1.05
3012,vahetus,waluta,nouns,0.8
3013,keha,kręgosłup,nouns,1.2
3014,tagasi lükkama,obierać,verbs,0.65
3015,nõustuma,akceptować,verbs,4.9
3016,inimene,charakter,nouns,2.05
3017,inspekteerima,badać,verbs,2.95
3018,puhkus,kalendarz,nouns,1.05
3019,sool,woda,nouns,0.65
3020,luide,deser,nouns,0.7
3021,õpetaja,student,nouns,0.75
3022,külaline,przyjaciel,nouns,1.6
3023,soovitama,radzić,verbs,4.4
3024,lõpetama,zaczynać,verbs,0.3
3025,tähendusrikkalt,głęboko,adverbs,2.75
3026,hematoloogia,patologia,nouns,0.7
3027,passiivne,gwałtowny,adjectives,0.25
3028,mõte,opinia,nouns,2.0
3029,kristall,szkło,nouns,2.05
3030,korjandus,rozwój,nouns,0.3
3031,ühendama,rozpuszczać,verbs,0.95
3032,vastandlik,inny,adjectives,1.05
3033,vastu võtma,odrzucić,verbs,0.3
3034,supp,kolacja,nouns,1.55
3035,imelik,dziwaczny,adjectives,4.8
3036,rebane,ogar,nouns,0.6
3037,assisteerima,wspomagać,verbs,4.65
3038,lubama,obalać,verbs,0.0
3039,hõljuma,śpiewać,verbs,0.0
3040,piire,granica,nouns,3.4
3041,hommikusöök,kolacja,nouns,1.05
3042,hankima,brać,verbs,1.75
3043,politseinik,polityk,nouns,0.3
3044,pettus,przestępstwo,nouns,3.85
3045,õnnetus,katastrofa,nouns,4.45
3046,säravalt,lekko,adverbs,0.45
3047,orkester,zespół,nouns,3.5
3048,nõu andma,polecić,verbs,4.05
3049,paindlik,wielki,adjectives,0.2
3050,tsunaami,morze,nouns,1.0
3051,ärritunud,zawstydzony,adjectives,0.45
3052,kõrgus,konwersja,nouns,0.3
3053,mängija,trener,nouns,1.05
3054,heelium,powietrze,nouns,1.35
3055,vabastama,ratować,verbs,4.9
3056,harva,zwykle,adverbs,0.35
3057,lammas,bydło,nouns,1.55
3058,veok,pakunek,nouns,1.15
3059,ühing,biznes,nouns,1.85
3060,muusika,flet,nouns,0.95
3061,rikkumata,skromny,adjectives,0.95
3062,film,ekranizacja,nouns,4.8
3063,halvenema,wycierać,verbs,0.25
3064,vaidlema,narzekać,verbs,1.3
3065,tank,samochód,nouns,0.7
3066,veenma,argumentować,verbs,2.8
3067,nurjuma,polegać,verbs,0.0
3068,relv,notatnik,nouns,0.0
3069,vasikas,byk,nouns,1.75
3070,kõrs,hymn,nouns,0.0
3071,püüdma,pojmać,verbs,5.0
3072,kaamera,kontynuacja,nouns,0.05
3073,merevägi,armia,nouns,3.1
3074,laps,mężczyzna,nouns,0.65
3075,sahtel,ubrania,nouns,0.65
3076,surm,pochówek,nouns,1.5
3077,võitlus,podbój,nouns,2.3
3078,minema,sprzedawać,verbs,0.15
3079,tamm,klon,nouns,1.55
3080,koridor,drzwi,nouns,0.9
3081,võlts,sztuczny,adjectives,4.25
3082,kaootiliselt,pokojowo,adverbs,0.25
3083,haruldane,niewystarczający,adjectives,1.05
3084,lihtne,trudny,adjectives,0.35
3085,kotkas,sokół,nouns,1.8
3086,tihedalt,niewiarygodnie,adverbs,0.5
3087,lahkuma,pozostać,verbs,0.25
3088,valem,równanie,nouns,3.15
3089,avastama,ignorować,verbs,0.05
3090,kahuripaat,wybrzeże,nouns,0.35
3091,andma,wiedzieć,verbs,0.1
3092,uurima,odkryć,verbs,3.1
3093,õhtu,zmierzch,nouns,4.3
3094,vaidlema,debatować,verbs,3.1
3095,näpistama,walnąć,verbs,0.85
3096,klooster,prysznic,nouns,0.1
3097,vaba,niewinny,adjectives,1.1
3098,ehitama,dodawać,verbs,0.9
3099,kuulutama,proklamować,verbs,3.6
3100,maks,płuco,nouns,1.0
3101,ettevaatlikult,ostrożnie,adverbs,4.25
3102,töö,narzędzie,nouns,1.0
3103,õde,naukowiec,nouns,0.1
3104,abikaasa (naine),słoma,nouns,0.0
3105,lääs,północ,nouns,0.9
3106,raske,objuczony,adjectives,1.15
3107,erinevalt,dziwacznie,adverbs,1.95
3108,kena,okrutny,adjectives,0.0
3109,saama,wysyłać,verbs,0.55
3110,minema,przyjść,verbs,1.25
3111,täielikult,wyłącznie,adverbs,2.1
3112,tööline,pracodawca,nouns,1.0
3113,laisk,cenny,adjectives,0.15
3114,peegeldus,wizerunek,nouns,2.05
3115,teooria,chemia,nouns,0.8
3116,peigmees,panna młoda,nouns,1.0
3117,auto,fabryka,nouns,0.35
3118,imiteerima,pojmać,verbs,0.45
3119,printima,ignorować,verbs,0.0
3120,rõõm,smutek,nouns,0.5
3121,keraamika,garncarstwo,nouns,3.05
3122,raamat,esej,nouns,1.15
3123,mantel,kapelusz,nouns,0.7
3124,psühholoogia,nauka,nouns,2.05
3125,täielikult,marginalnie,adverbs,0.7
3126,kenasti,życzliwie,adverbs,3.85
3127,basiilika,mozaika,nouns,0.55
3128,rõõm,duma,nouns,1.45
3129,vöökoht,posiłek,nouns,0.2
3130,keha,bark,nouns,1.0
3131,legend,morał,nouns,0.75
3132,jäätisekokteil,sok,nouns,1.05
3133,koer,koń,nouns,0.75
3134,võõrsil,w domu,adverbs,0.35
3135,omama,absorbować,verbs,1.1
3136,preester,bóg,nouns,1.0
3137,kirss,truskawka,nouns,1.75
3138,piir,odgraniczenie,nouns,3.4
3139,kahanema,rosnąć,verbs,0.3
3140,džinn,whisky,nouns,1.35
3141,valmistaja,twórca,nouns,3.5
3142,diagramm,wykres,nouns,4.2
3143,direktor,szef,nouns,4.55
3144,mask,impreza,nouns,0.7
3145,küsima,ignorować,verbs,0.1
3146,ettevaatus,troska,nouns,3.15
3147,kerge,prosty,adjectives,4.85
3148,kaduma,znaleźć,verbs,0.35
3149,mõtlema,dowiadywać się,verbs,0.6
3150,vine,chmura,nouns,1.75
3151,sõber,matka,nouns,1.2
3152,võistlema,skończyć,verbs,0.25
3153,loogika,inteligencja,nouns,2.35
3154,teesklema,zakładać,verbs,0.65
3155,number,cytoplazma,nouns,0.05
3156,õppima,ewaluować,verbs,1.3
3157,kehvasti,pokornie,adverbs,0.6
3158,kass,królik,nouns,1.05
3159,rand,rafa,nouns,0.7
3160,sassis,czysty,adjectives,0.25
3161,hertsog,republika,nouns,0.35
3162,pruut,księżniczka,nouns,0.9
3163,sõna,strona,nouns,0.7
3164,informeerima,powiadamiać,verbs,5.7
3165,ortodont,doktor,nouns,3.4
3166,jalgpall,zabawa,nouns,1.0
3167,sinep,nasienie,nouns,0.55
3168,kauss,ogon,nouns,0.0
3169,hobune,źrebak,nouns,3.35
3170,lonkama,chodzić,verbs,1.55
3171,uduvihm,deszcz,nouns,3.8
3172,surmavalt,inaczej,adverbs,0.4
3173,saavutama,powieść się,verbs,3.7
3174,kaotama,odejmować,verbs,1.3
3175,jänes,kot,nouns,1.05
3176,uks,piwnica,nouns,0.6
3177,nõu andma,sugerować,verbs,4.4
3178,laviin,śnieg,nouns,1.75
3179,partner,chłopiec,nouns,1.4
3180,putukamürk,szkodnik,nouns,1.3
3181,hingama,dusić,verbs,0.35
3182,õun,cukierek,nouns,0.55
3183,õhtusöök,kurczak,nouns,0.5
3184,laps,dorosły,nouns,0.5
3185,piparmünt,guma,nouns,0.55
3186,tagasi lükkama,wycofać,verbs,2.15
3187,auto,ciężarówka,nouns,3.4
3188,põhi,bok,nouns,0.7
3189,vanem,dorosły,nouns,2.8
3190,komistama,upaść,verbs,2.15
3191,läbirääkimine,dyplomacja,nouns,2.9
3192,kuberner,cesarz,nouns,1.05
3193,normaalselt,nienormalnie,adverbs,0.3
3194,hommikusöök,wieczerza,nouns,0.7
3195,sisenev,towarzyski,adjectives,0.85
3196,atmosfäär,ozon,nouns,2.2
3197,niit,przędza,nouns,3.15
3198,sidrun,herbata,nouns,0.35
3199,ärritama,skłócać,verbs,1.65
3200,igakuine,tygodniowy,adjectives,0.85
3201,hävitama,zabić,verbs,2.3
3202,võimas,potężny,adjectives,4.55
3203,loll,głupi,adjectives,5.25
3204,raamat,artykuł,nouns,1.05
3205,vannituba,sypialnia,nouns,1.05
3206,valu,krzywda,nouns,2.45
3207,oskus,inteligencja,nouns,1.9
3208,rahulikult,stanowczo,adverbs,0.65
3209,saama,robić,verbs,0.85
3210,nüri,ekscytujący,adjectives,0.05
3211,tramm,pociąg,nouns,1.85
3212,inimene,zwierzę,nouns,0.75
3213,tegu,bieg,nouns,1.1
3214,tsitrus,pomarańcza,nouns,3.35
3215,emotsioon,pasja,nouns,3.05
3216,õhtusöök,śniadanie,nouns,1.05
3217,neelama,pić,verbs,2.4
3218,ülesanne,wyspa,nouns,0.0
3219,peatükk,epizod,nouns,3.7
3220,hing,bóg,nouns,1.45
3221,nõustuma,nie zgadzać się,verbs,0.25
3222,kael,kość,nouns,0.6
3223,pott,urządzenie,nouns,0.2
3224,paindlik,luźny,adjectives,1.65
3225,mugul,kwiat,nouns,1.15
3226,kahju,ból,nouns,2.45
3227,kummaline,cudaczny,adjectives,4.95
3228,otsima,polować,verbs,2.4
3229,aed,skakanie,nouns,0.55
3230,pilt,odbicie,nouns,2.05
3231,käsi,gwóźdź,nouns,0.55
3232,kontor,robotnik,nouns,0.5
3233,harva,często,adverbs,0.3
3234,halb,straszny,adjectives,2.5
3235,telliskivi,ściana,nouns,0.95
3236,kuritegu,pogwałcenie,nouns,3.6
3237,keha,bielizna,nouns,0.55
3238,biheiviorism,terapia,nouns,1.3
3239,süüdi,zły,adjectives,1.7
3240,idee,wizerunek,nouns,0.35
3241,lõvi,kot,nouns,2.2
3242,lihas,ramię,nouns,1.35
3243,saama,akceptować,verbs,2.45
3244,loll,ogromny,adjectives,0.1
3245,uudised,medium,nouns,1.3
3246,kaebama,przynieść,verbs,0.05
3247,ära ütlema,akceptować,verbs,0.3
3248,võib-olla,prawdopodobnie,adverbs,3.85
3249,tuginema,nawalić,verbs,0.0
3250,joonistus,zamieszki,nouns,0.05
3251,imeline,piękny,adjectives,3.5
3252,voolik,ogród,nouns,0.7
3253,otsustama,myśleć,verbs,2.25
3254,härg,koń,nouns,1.45
3255,saal,przejście,nouns,1.35
3256,haruldane,niezwykły,adjectives,4.6
3257,kuritegu,atak,nouns,2.15
3258,seade,garnek,nouns,0.2
3259,nõustuma,kłócić się,verbs,0.35
3260,pentsik,dziwny,adjectives,4.95
3261,dekoratsioon,ściana,nouns,0.7
3262,sulgema,wymiotować,verbs,0.0
3263,eitama,przyznawać,verbs,0.35
3264,kerge,giętki,adjectives,0.8
3265,sipelgas,mucha,nouns,1.35
3266,poiss,partner,nouns,1.4
3267,kaval,hardy,adjectives,0.95
3268,haige,szalony,adjectives,1.75
3269,tennis,statystyka,nouns,0.25
3270,täht,akapit,nouns,0.5
3271,jätma,iść,verbs,1.2
3272,seaduserikkuja,kryminalista,nouns,4.95
3273,voolik,samochód,nouns,0.45
3274,värske,szeroki,adjectives,0.1
3275,kurb,straszny,adjectives,0.55
3276,nööp,ubrania,nouns,0.7
3277,pritsess,ciastko,nouns,0.05
3278,luu,szyja,nouns,0.6
3279,räpane,tani,adjectives,0.7
3280,lihtsalt,najwyraźniej,adverbs,1.25
3281,haigus,infekcja,nouns,2.7
3282,kuupäev,kalendarz,nouns,1.75
3283,taevas,marzenie,nouns,0.4
3284,üks kord,dwukrotnie,adverbs,0.4
3285,tükk,lotnisko,nouns,0.0
3286,informatsioon,entropia,nouns,0.85
3287,oluliselt,prawdziwie,adverbs,1.3
3288,lumetorm,deszcz,nouns,1.15
3289,umbes,marginalnie,adverbs,1.0
3290,hobune,klacz,nouns,3.0
3291,tagumine,ogon,nouns,3.05
3292,passivselt,cicho,adverbs,1.05
3293,kodutu,bilioner,nouns,0.4
3294,kaasa lööma,zawierać,verbs,1.35
3295,koosseis,wokalista,nouns,0.45
3296,normaalne,inny,adjectives,0.5
3297,viisa,globalizm,nouns,0.5
3298,mahl,milkshake,nouns,1.05
3299,reegel,konwencja,nouns,2.95
3300,jääma,dostać,verbs,0.0
3301,rakendus,galaktyka,nouns,0.1
3302,trikk,pistolet,nouns,0.25
3303,veri,ciało,nouns,0.9
3304,jõukus,sława,nouns,0.85
3305,taipama,rozumieć,verbs,5.05
3306,advokaat,oskarżyciel,nouns,1.5
3307,habras,oziębły,adjectives,0.4
3308,tsüklon,tajfun,nouns,3.65
3309,tegu,gra,nouns,1.55
3310,vappumine,trzęsienie ziemi,nouns,3.35
