ID,ENG,POL,PoS,score
2921,assume,udawać,verbs,0.48
2922,cable,czarodziej,nouns,0.0
2923,gallery,prawnik,nouns,0.0
2924,deceive,oszukać,verbs,4.05
2925,terminally,inaczej,adverbs,0.34
2926,winner,mistrz,nouns,4.82
2927,ask,ignorować,verbs,0.0
2928,hit,rama,nouns,0.0
2929,strange,przebiegły,adjectives,0.07
2930,pollination,pręcik,nouns,0.44
2931,disappear,kurczyć się,verbs,1.69
2932,try,osiągnąć,verbs,0.39
2933,gun,sierżant,nouns,0.37
2934,nicely,życzliwie,adverbs,4.47
2935,loudly,szalenie,adverbs,0.69
2936,bird,jastrząb,nouns,2.96
2937,bone,szczęka,nouns,0.87
2938,pay,kupować,verbs,1.8
2939,big,wielki,adjectives,5.66
2940,car,rower,nouns,0.54
2941,choice,więzienie,nouns,0.05
2942,robotics,symulacja,nouns,0.95
2943,portray,powiadamiać,verbs,0.65
2944,father,mężczyzna,nouns,2.11
2945,ignore,pytać,verbs,0.0
2946,fur,kobieta,nouns,0.0
2947,maple,drzewo,nouns,2.4
2948,paper,karton,nouns,3.09
2949,saint,grzesznik,nouns,0.07
2950,smother,spalić,verbs,0.1
2951,attract,uderzyć,verbs,0.0
2952,plead,błagać,verbs,4.63
2953,monk,ksiądz,nouns,2.91
2954,apple,sos,nouns,0.43
2955,tedious,pewny,adjectives,0.04
2956,tell,przypomnieć,verbs,1.51
2957,ignore,zostawić,verbs,1.32
2958,divide,mnożyć,verbs,0.26
2959,jail,pręt,nouns,0.19
2960,rattle,hałas,nouns,2.77
2961,basketball,baseball,nouns,1.12
2962,practice,powtarzać,verbs,2.63
2963,unhappy,obłąkany,adjectives,1.02
2964,achieve,zrealizować,verbs,5.39
2965,judge,zeznawać,verbs,0.54
2966,awful,świetny,adjectives,0.04
2967,biscuit,księżniczka,nouns,0.0
2968,number,cyfra,nouns,4.88
2969,surely,wyraźnie,adverbs,3.7
2970,lemma,sylaba,nouns,0.27
2971,lightly,jasno,adverbs,0.72
2972,roof,okno,nouns,0.27
2973,barn,dom,nouns,0.72
2974,crash,rozwalić,verbs,2.99
2975,wife,słoma,nouns,0.0
2976,booth,telefon,nouns,0.92
2977,emergency,wypadek,nouns,2.66
2978,anger,frustracja,nouns,4.0
2979,rice,kurczak,nouns,0.09
2980,seriously,szczerze,adverbs,1.93
2981,violent,miękki,adjectives,0.0
2982,special,wartościowy,adjectives,2.52
2983,container,butelka,nouns,2.25
2984,school,prawo,nouns,0.17
2985,remain,odchodzić,verbs,0.12
2986,decide,wybierać,verbs,4.33
2987,combat,wojowniczość,nouns,2.36
2988,decomposition,faktoryzacja,nouns,0.89
2989,differ,kłocić się,verbs,2.42
2990,girl,dziecko,nouns,1.48
2991,add,złączyć,verbs,2.84
2992,pencil,opowieść,nouns,0.05
2993,wash,płukać,verbs,3.63
2994,unique,przeciwny,adjectives,0.54
2995,recommend,akceptować,verbs,0.2
2996,obey,karać,verbs,0.4
2997,limp,chodzić,verbs,1.06
2998,bath,trik,nouns,0.0
2999,deny,unikać,verbs,0.39
3000,ideally,mechanicznie,adverbs,0.3
3001,container,wóz,nouns,0.21
3002,conquest,podróż,nouns,0.88
3003,belief,kwiat,nouns,0.12
3004,beat,miksować,verbs,0.41
3005,professor,student,nouns,0.36
3006,aunt,wujek,nouns,1.34
3007,wonderful,niesamowity,adjectives,5.46
3008,foolish,tępy,adjectives,4.46
3009,ceramic,garncarstwo,nouns,2.96
3010,player,trener,nouns,0.51
3011,warrior,mężczyzna,nouns,0.92
3012,proclaim,ogłaszać,verbs,4.67
3013,important,kluczowy,adjectives,5.24
3014,reap,zyskać,verbs,1.99
3015,list,ciąg,nouns,1.46
3016,information,gazeta,nouns,1.26
3017,advance,promować,verbs,2.94
3018,dice,sześcian,nouns,1.54
3019,ugly,niechlujny,adjectives,1.02
3020,attorney,prawnik,nouns,4.94
3021,camera,robotnik,nouns,0.15
3022,vein,wybór,nouns,0.0
3023,cocktail,alkohol,nouns,2.17
3024,snowboard,narciarstwo,nouns,1.52
3025,firmly,spokojnie,adverbs,0.66
3026,create,robić,verbs,4.1
3027,ask,pomagać,verbs,0.15
3028,quest,cel,nouns,1.63
3029,book,opowieść,nouns,2.06
3030,hill,klif,nouns,1.53
3031,kick,ranić,verbs,1.01
3032,ceiling,podłoga,nouns,0.17
3033,prejudice,szowinista,nouns,1.2
3034,automobile,samochód,nouns,5.54
3035,teacher,student,nouns,0.26
3036,house,klucz,nouns,0.22
3037,employer,robotnik,nouns,1.34
3038,assignment,notatka,nouns,0.41
3039,smell,psuć,verbs,0.64
3040,squall,wiatr,nouns,2.71
3041,justify,weryfikować,verbs,1.35
3042,rod,zasłona,nouns,0.15
3043,treat,płacić,verbs,0.39
3044,society,klub,nouns,4.85
3045,confusion,histeria,nouns,1.11
3046,snow,lód,nouns,2.46
3047,floor,sufit,nouns,0.17
3048,quietly,naturalnie,adverbs,0.04
3049,emotion,nastrój,nouns,3.66
3050,exchange,waluta,nouns,0.84
3051,electric,mechaniczny,adjectives,0.47
3052,grown,niedojrzały,adjectives,0.04
3053,branch,ramię,nouns,0.56
3054,tightly,niewiarygodnie,adverbs,0.3
3055,leader,menadżer,nouns,3.55
3056,cattle,jogurt,nouns,0.42
3057,hate,krytykować,verbs,1.15
3058,cell,pokój,nouns,1.87
3059,stop,kontrolować,verbs,0.52
3060,affordable,tani,adjectives,3.88
3061,assault,drażnić,verbs,0.88
3062,carpet,dom,nouns,0.14
3063,map,kwadrat,nouns,0.0
3064,news,plotka,nouns,1.92
3065,wood,koc,nouns,0.0
3066,cheese,chleb,nouns,0.13
3067,fury,gniew,nouns,4.82
3068,appliance,garnek,nouns,0.39
3069,new,starożytny,adjectives,0.04
3070,judge,sąd,nouns,1.35
3071,often,rzadko,adverbs,0.12
3072,punish,uczyć,verbs,0.0
3073,chorus,piosenkarz,nouns,0.79
3074,know,rozumieć,verbs,2.75
3075,neck,ramię,nouns,0.24
3076,independently,odpowiedzialnie,adverbs,0.74
3077,town,miasto,nouns,3.52
3078,censorship,swoboda,nouns,0.12
3079,terrible,zły,adjectives,3.6
3080,argue,narzekać,verbs,1.59
3081,tool,praca,nouns,0.42
3082,sunset,wieczór,nouns,2.21
3083,elegance,styl,nouns,3.96
3084,volcano,magma,nouns,1.4
3085,elevator,samochód,nouns,0.04
3086,replace,przywrócić,verbs,2.04
3087,monitor,ekran,nouns,4.68
3088,unnaturally,naturalnie,adverbs,0.04
3089,zero,nieskończoność,nouns,0.56
3090,funny,smutny,adjectives,0.12
3091,anger,nastrój,nouns,1.39
3092,usually,rzadko,adverbs,0.17
3093,billionaire,bezdomny,nouns,0.27
3094,delightful,wesoły,adjectives,1.94
3095,baby,córka,nouns,2.23
3096,know,dać,verbs,0.14
3097,feel,wierzyć,verbs,1.64
3098,translator,obcokrajowiec,nouns,0.35
3099,date,kalendarz,nouns,1.16
3100,irritate,zgadywać,verbs,0.15
3101,build,dodawać,verbs,1.14
3102,send,wystrzelić,verbs,1.25
3103,straw,żona,nouns,0.0
3104,horse,wół,nouns,1.15
3105,complete,skończony,adjectives,5.32
3106,officer,deputowany,nouns,1.59
3107,pet,kot,nouns,2.87
3108,shame,smutek,nouns,0.79
3109,opinion,przekonanie,nouns,3.66
3110,guitar,skrzypce,nouns,1.14
3111,keep,stracić,verbs,0.0
3112,uniformly,czasem,adverbs,0.0
3113,combine,trzcina cukrowa,nouns,0.05
3114,die,pochować,verbs,1.04
3115,pearl,pieniądze,nouns,0.22
3116,shake,mieszać,verbs,1.57
3117,syllabus,egzamin,nouns,0.56
3118,dirty,tani,adjectives,0.09
3119,choke,zabić,verbs,1.5
3120,stomach,żyła,nouns,0.15
3121,hawk,ptak,nouns,2.96
3122,calendar,święto,nouns,0.61
3123,ecosystem,ekonomia,nouns,0.24
3124,cloud,jezioro,nouns,0.2
3125,admit,zaprzeczać,verbs,0.04
3126,mind,neuroza,nouns,0.72
3127,sultan,ministerstwo,nouns,0.3
3128,cheerful,rozkoszny,adjectives,1.94
3129,ignorant,regularny,adjectives,0.07
3130,repress,wyrzekać się,verbs,1.15
3131,servant,niewolnik,nouns,3.24
3132,car,taksówka,nouns,3.17
3133,learn,ewaluować,verbs,1.12
3134,massively,otwarcie,adverbs,0.15
3135,civilization,styl życia,nouns,0.66
3136,roof,podłoga,nouns,0.45
3137,foot,ręka,nouns,0.85
3138,reduce,przemoczyć,verbs,0.0
3139,accept,wybaczać,verbs,1.7
3140,people,pistolet,nouns,0.0
3141,private,osobisty,adjectives,4.66
3142,other,przeciwny,adjectives,1.07
3143,cab,autobus,nouns,1.19
3144,bring,przywrócić,verbs,0.88
3145,arrest,podejrzewać,verbs,0.67
3146,liquor,stulecie,nouns,0.05
3147,metal,aluminium,nouns,2.01
3148,fully,zasadniczo,adverbs,0.64
3149,arm,kość,nouns,0.57
3150,person,charakter,nouns,2.07
3151,doctor,profesor,nouns,1.73
3152,buddy,towarzysz,nouns,4.6
3153,burn,udusić,verbs,0.1
3154,atmosphere,ozon,nouns,2.29
3155,nepotism,król,nouns,0.51
3156,evening,zmierzch,nouns,4.34
3157,arrange,wymagać,verbs,0.25
3158,rail,płot,nouns,0.84
3159,decline,akceptować,verbs,0.04
3160,passively,cicho,adverbs,1.22
3161,attach,oddzielać,verbs,0.04
3162,think,pamiętać,verbs,0.72
3163,escape,umknąć,verbs,5.2
3164,god,diabeł,nouns,0.32
3165,god,ofiara,nouns,0.0
3166,mother,żona,nouns,1.44
3167,water,susza,nouns,0.04
3168,pathogen,zarazek,nouns,4.08
3169,shirt,kardigan,nouns,1.16
3170,become,pojawić się,verbs,0.79
3171,peace,szczęście,nouns,2.12
3172,pointer,slajd,nouns,0.0
3173,princess,panna młoda,nouns,0.19
3174,sad,śmieszny,adjectives,0.12
3175,calmly,pokojowo,adverbs,4.0
3176,wagon,pojemnik,nouns,0.21
3177,stool,krzesło,nouns,2.94
3178,spend,oszczędzać,verbs,0.04
3179,boat,samochód,nouns,0.57
3180,precious,leniwy,adjectives,0.0
3181,runner,atleta,nouns,2.42
3182,car,winda,nouns,0.04
3183,artificial,fałszywy,adjectives,4.63
3184,stupid,tępy,adjectives,5.44
3185,palace,wieżowiec,nouns,0.61
3186,meteor,grawitacja,nouns,0.27
3187,woman,mężczyzna,nouns,0.26
3188,side,spód,nouns,0.39
3189,arm,gałęź,nouns,0.56
3190,page,akapit,nouns,0.59
3191,crunch,trzasnąć,verbs,1.1
3192,snap,chrzęścić,verbs,1.1
3193,unfair,okrutny,adjectives,1.73
3194,band,wytrzymałość,nouns,0.0
3195,daily,normalnie,adverbs,2.21
3196,construction,destrukcja,nouns,0.07
3197,lock,klucz,nouns,0.39
3198,lizard,wąż ,nouns,0.99
3199,grasp,rozumieć,verbs,4.54
3200,man,wujek,nouns,1.19
3201,humbly,dumnie,adverbs,0.37
3202,fluid,dysza,nouns,0.04
3203,safety,wygoda,nouns,1.41
3204,smart,inteligentny,adjectives,5.39
3205,after,przed,adverbs,0.24
3206,surely,zdecydowanie,adverbs,5.0
3207,orthodontist,dentysta,nouns,3.5
3208,mouth,ząb,nouns,0.82
3209,observe,oglądać,verbs,4.92
3210,come,iść,verbs,1.26
3211,predict,ustalać,verbs,2.19
3212,proud,smutny,adjectives,0.0
3213,belief,pojęcie,nouns,1.57
3214,undisclosed,jawny,adjectives,0.27
3215,rely,nawalić,verbs,0.0
3216,repeat,ćwiczyć,verbs,2.63
3217,array,lista,nouns,1.46
3218,curtain,pręt,nouns,0.15
3219,air,cząsteczka,nouns,0.72
3220,conclude,decydować,verbs,2.44
3221,gale,koc,nouns,0.0
3222,piano,harmonia,nouns,0.27
3223,size,wielkość,nouns,4.91
3224,island,plaża,nouns,1.35
3225,participate,przyłączyć się,verbs,2.71
3226,sandwich,mięso,nouns,0.12
3227,head,stopa,nouns,0.19
3228,princess,król,nouns,0.98
3229,pineapple,smartfon,nouns,0.0
3230,retreat,zstępować,verbs,1.52
3231,beach,wybrzeże,nouns,3.04
3232,wealth,bieda,nouns,0.22
3233,add,dzielić,verbs,0.15
3234,personal,intymny,adjectives,3.39
3235,necessary,ważny,adjectives,4.1
3236,formula,rejestr,nouns,0.53
3237,body,bark,nouns,0.69
3238,choice,opinia,nouns,0.89
3239,tired,głodny,adjectives,0.27
3240,smartphone,ananas,nouns,0.0
3241,crazy,niepoczytalny,adjectives,5.32
3242,duke,republika,nouns,0.04
3243,attend,gromadzić się,verbs,1.22
3244,bee,insekt,nouns,2.33
3245,lift,holować,verbs,2.04
3246,keep,zatrzymywać,verbs,4.17
3247,disown,zaniedbać,verbs,1.1
3248,bad,nieuczciwy,adjectives,1.82
3249,watch,spódnica,nouns,0.05
3250,dust,miotła,nouns,0.22
3251,assignment,zadanie,nouns,4.86
3252,college,zawód,nouns,0.19
3253,cook,smażyć,verbs,2.46
3254,permit,aprobować,verbs,4.38
3255,tax,dochód,nouns,0.35
3256,butterfly,róża,nouns,0.1
3257,bad,winny,adjectives,1.69
3258,gift,pisarz,nouns,0.0
3259,helmet,broń,nouns,0.49
3260,island,półwysep,nouns,1.32
3261,performer,piosenka,nouns,0.64
3262,get,stracić,verbs,0.0
3263,skiing,snowboard,nouns,1.52
3264,gain,zbierać,verbs,1.99
3265,silkworm,gąsienica,nouns,2.33
3266,heater,parasol,nouns,0.0
3267,speak,szeptać,verbs,1.87
3268,gulp,sączyć,verbs,1.52
3269,disease,niebezpieczeństwo,nouns,0.3
3270,smear,rozsmarować,verbs,4.08
3271,flower,przekonanie,nouns,0.12
3272,wall,zamek,nouns,0.12
3273,beautifully,elegancko,adverbs,3.17
3274,xenophobia,rasizm,nouns,3.26
