ID,SPA,YUE,PoS,score
2966,entregar,攞,verbs,0.95
2967,mucama,女孩,nouns,0.47
2968,claramente,肯定地,adverbs,3.64
2969,golpear,吸引,verbs,0.05
2970,derecho,彎曲,adjectives,0.29
2971,escultura,雕像,nouns,4.88
2972,conocido,好,adjectives,0.7
2973,copiloto,座艙,nouns,0.48
2974,oficialmente,強烈地,adverbs,0.32
2975,playa,島,nouns,1.36
2976,amanecer,白天,nouns,2.58
2977,oruga,蠶,nouns,2.83
2978,bote,甲板,nouns,0.96
2979,golpear,瞄准,verbs,0.75
2980,mantener,保留,verbs,4.46
2981,visón,油,nouns,0.1
2982,aprender,教育,verbs,2.35
2983,uniformemente,有時,adverbs,0.15
2984,coche,廠,nouns,0.2
2985,vaca,山羊,nouns,1.79
2986,olvidar,提醒,verbs,0.1
2987,dividir,團結,verbs,0.1
2988,ganga,便士,nouns,0.24
2989,regalo,作家,nouns,0.1
2990,campana,門,nouns,0.43
2991,rabino,老師,nouns,0.8
2992,acetaminofeno,支氣管炎,nouns,0.4
2993,lago,雲,nouns,0.33
2994,colérico,猶豫,adjectives,0.63
2995,dólar,百萬富翁,nouns,0.73
2996,aplicación,星系,nouns,0.1
2997,puerta,走廊,nouns,0.48
2998,aprender,聽,verbs,0.68
2999,aeropuerto,飛機,nouns,1.02
3000,valle,凹地,nouns,2.82
3001,templado,尖,adjectives,0.25
3002,doctor,大夫,nouns,5.15
3003,esforzarse,阻礙,verbs,0.35
3004,grosero,噪,adjectives,0.73
3005,párrafo,頁,nouns,1.07
3006,construir,創建,verbs,3.91
3007,perseguir,跟隨,verbs,3.08
3008,traer,抱怨,verbs,0.0
3009,sagrado,珍貴,adjectives,1.59
3010,diariamente,通常,adverbs,3.29
3011,saber,明白,verbs,3.61
3012,negocio,公司,nouns,4.15
3013,anunciar,聲明,verbs,3.46
3014,centinela,男人,nouns,0.95
3015,añadir,加入,verbs,3.27
3016,máscara,派對,nouns,0.29
3017,pistola,人,nouns,0.33
3018,show,數學家,nouns,0.1
3019,complacer,滿足,verbs,5.09
3020,magistrado,法官,nouns,3.65
3021,manta,大風,nouns,0.05
3022,libertad,審查,nouns,0.15
3023,dar,斷絕父子關係,verbs,0.1
3024,estómago,身體,nouns,2.03
3025,puesta de sol,線,nouns,0.0
3026,dibujar,創建,verbs,0.97
3027,tsunami,海,nouns,1.77
3028,nieve,風暴,nouns,0.92
3029,palacio,高樓大廈,nouns,0.43
3030,salsa,蘋果,nouns,0.48
3031,pistola,刀,nouns,1.8
3032,mago,電纜,nouns,0.0
3033,parte superior,第五,adjectives,0.14
3034,armada,島,nouns,0.2
3035,banda,耐力,nouns,0.05
3036,estadística,網球,nouns,0.25
3037,admitir,否認,verbs,0.15
3038,abrigo,棚屋,nouns,0.28
3039,convencer,拗撬,verbs,0.88
3040,situación,狀況,nouns,5.53
3041,discutir,出席,verbs,0.15
3042,tonto,稀罕,adjectives,0.24
3043,activamente,高高興興,adverbs,0.51
3044,abogado,銀行家,nouns,1.56
3045,proclamar,宣告,verbs,4.23
3046,cuadrado,地圖,nouns,0.38
3047,beca,學費,nouns,0.96
3048,ropa,布,nouns,2.29
3049,uña,手,nouns,1.01
3050,pelota,球狀物,nouns,3.31
3051,metal,錫,nouns,2.04
3052,entender,聽,verbs,0.64
3053,exactamente,精確地,adverbs,4.92
