ID,ENG,RUS,PoS,score
3038,athlete,бегун,nouns,2.12
3039,snow,шторм,nouns,1.19
3040,mink,мех,nouns,2.25
3041,strange,обычный,adjectives,0.09
3042,cinematography,режиссер,nouns,1.02
3043,angel,демон,nouns,0.22
3044,kill,вешать,verbs,1.13
3045,bath,комната,nouns,0.82
3046,god,священник,nouns,0.74
3047,cannon,ядро,nouns,0.91
3048,foreclose,стараться,verbs,0.0
3049,fresh,старый,adjectives,0.09
3050,cook,жарить,verbs,1.81
3051,alphabet,ручка,nouns,0.29
3052,ashamed,счастливый,adjectives,0.0
3053,foot,песок,nouns,0.0
3054,sheet,самолет,nouns,0.0
3055,journalist,поэт,nouns,0.66
3056,sometimes,часто,adverbs,0.59
3057,inch,ярд,nouns,1.13
3058,hawk,птица,nouns,2.06
3059,log,ванна,nouns,0.0
3060,cord,провод,nouns,4.16
3061,cottage,домик,nouns,3.99
3062,safe,легальный,adjectives,0.98
3063,case,электричество,nouns,0.3
3064,combat,воинственность,nouns,1.96
3065,participate,высказываться,verbs,0.45
3066,tree,клен,nouns,2.5
3067,lake,облако,nouns,0.15
3068,tightly,невероятно,adverbs,0.0
3069,brain,разум,nouns,2.81
3070,inexpensive,дешевый,adjectives,5.03
3071,educate,учиться,verbs,0.81
3072,field,овёс,nouns,0.5
3073,opposite,уникальный,adjectives,0.54
3074,obviously,видимо,adverbs,3.84
3075,screen,фонология,nouns,0.0
3076,gift,писатель,nouns,0.4
3077,chicken,рис,nouns,0.34
3078,adult,родитель,nouns,1.5
3079,happy,молодой,adjectives,0.14
3080,legion,армия,nouns,2.48
3081,son,мальчик,nouns,1.69
3082,oil,норка,nouns,0.2
3083,boy,ребенок,nouns,2.13
3084,enter,идти,verbs,1.34
3085,muscle,кость,nouns,0.38
3086,acquire,объединяться,verbs,0.26
3087,hose,сад,nouns,0.48
3088,bulb,цветок,nouns,0.69
3089,roughly,надежно,adverbs,0.05
3090,narrow,широкий,adjectives,0.09
3091,christian,протестант,nouns,2.17
3092,condemn,отклонять,verbs,1.09
3093,piston,мотор,nouns,1.83
3094,tear,одевать,verbs,0.31
3095,dominate,побеждать,verbs,2.29
3096,let,разрешать,verbs,4.85
3097,later,никогда,adverbs,0.27
3098,highway,задача,nouns,0.1
3099,affordable,дешевый,adjectives,3.04
3100,melt,растворяться,verbs,2.54
3101,crazy,безумный,adjectives,5.47
3102,allow,позволять,verbs,4.85
3103,second,минута,nouns,1.09
3104,secretly,уверенно,adverbs,0.27
3105,mode,мода,nouns,1.27
3106,agriculture,растение,nouns,1.1
3107,winter,сезон,nouns,1.66
3108,criticize,замечать,verbs,1.41
3109,generous,приятный,adjectives,1.67
3110,classroom,коридор,nouns,0.44
3111,box,источник,nouns,0.0
3112,sorrow,стыд,nouns,0.89
3113,snore,проснуться,verbs,0.19
3114,gum,мята,nouns,0.49
3115,hip,губа,nouns,0.34
3116,stir,встряхивать,verbs,1.17
3117,ant,муха,nouns,0.61
3118,weird,странный,adjectives,5.02
3119,student,профессор,nouns,0.46
3120,performance,камея,nouns,0.69
3121,hallway,класс,nouns,0.44
3122,banker,юрист,nouns,0.67
3123,circumstance,ситуация,nouns,4.54
3124,syllable,лемма,nouns,0.36
3125,meat,бутерброд,nouns,0.46
3126,truck,автомобиль,nouns,2.09
3127,book,библия,nouns,1.57
3128,rhythm,мелодия,nouns,2.38
3129,square,карта,nouns,0.35
3130,real,фальшивый,adjectives,0.19
3131,monk,священник,nouns,3.35
3132,acknowledge,уведомлять,verbs,0.79
3133,uniformly,иногда,adverbs,0.05
3134,devil,бог,nouns,0.47
3135,collect,сохранять,verbs,2.21
3136,confuse,учить,verbs,0.0
3137,magma,вулкан,nouns,1.35
3138,corridor,дверь,nouns,0.39
3139,demon,ангел,nouns,0.22
3140,poorly,смиренно,adverbs,0.19
3141,horse,бык,nouns,0.69
3142,area,зона,nouns,4.3
3143,lip,рот,nouns,1.42
3144,bean,рис,nouns,0.69
3145,cursor,чип,nouns,0.1
3146,drum,рожок,nouns,0.51
3147,sequel,камера,nouns,0.0
3148,fur,женщина,nouns,0.2
3149,demolish,громить,verbs,2.89
3150,artificial,фальшивый,adjectives,4.38
3151,fake,настоящий,adjectives,0.19
3152,friend,парень,nouns,1.26
3153,agree,противоречить,verbs,0.09
3154,boy,сын,nouns,1.69
3155,bring,восстанавливать,verbs,0.13
3156,weird,необычный,adjectives,4.29
3157,terrific,прекрасный,adjectives,5.11
3158,enjoy,ненавидеть,verbs,0.0
3159,terminally,иначе,adverbs,0.09
3160,investigate,изучать,verbs,4.5
3161,idea,мнение,nouns,2.38
3162,salad,диета,nouns,0.77
3163,decide,думать,verbs,1.67
3164,orange,цитрус,nouns,3.38
3165,bias,наклонять,verbs,1.21
3166,candidate,победитель,nouns,0.79
3167,chicken,стейк,nouns,0.86
3168,bath,бревно,nouns,0.0
3169,automobile,машина,nouns,5.7
3170,happiness,печаль,nouns,0.09
3171,urgently,быстро,adverbs,3.46
3172,flag,изучение флагов,nouns,1.21
3173,fight,убивать,verbs,0.49
3174,ceramic,глиняная посуда,nouns,3.66
3175,optimistically,возможно,adverbs,0.39
3176,sunset,строка,nouns,0.0
3177,corruption,мошенничество,nouns,2.79
3178,earn,заслуживать,verbs,2.42
3179,symbol,криптограмма,nouns,2.19
3180,follow,гнаться,verbs,2.78
3181,foot,кисть,nouns,0.7
3182,wide,узкий,adjectives,0.09
3183,crack,ломать,verbs,2.13
3184,morning,день,nouns,1.65
3185,wet,липкий,adjectives,0.67
3186,never,потом,adverbs,0.27
3187,realize,обнаруживать,verbs,2.99
3188,construct,разрушать,verbs,0.04
3189,hang,убивать,verbs,1.13
3190,ball,волейбол,nouns,1.4
3191,clean,беспорядочный,adjectives,0.04
3192,try,достигать,verbs,1.09
3193,chorus,певец,nouns,1.44
3194,mainly,обычно,adverbs,3.34
3195,background,обои,nouns,2.49
3196,sing,плавать,verbs,0.05
3197,attach,отделять,verbs,0.04
3198,weak,пряный,adjectives,0.0
3199,excited,испуганный,adjectives,0.17
3200,bottom,верх,nouns,0.3
3201,learn,воспитывать,verbs,0.81
3202,decoration,конверт,nouns,0.1
3203,triumph,победа,nouns,4.96
3204,drive,останавливаться,verbs,0.05
3205,deny,соглашаться,verbs,0.05
3206,car,такси,nouns,2.83
3207,century,год,nouns,0.67
3208,lock-up,клетка,nouns,1.23
3209,cheat,обманывать,verbs,3.8
3210,glare,щуриться,verbs,0.89
3211,blanket,постель,nouns,0.91
3212,accuse,лгать,verbs,0.17
3213,neck,позвоночник,nouns,1.52
3214,trick,игра,nouns,0.79
3215,star,планета,nouns,2.06
3216,task,остров,nouns,0.0
3217,seem,становиться,verbs,0.71
3218,computer,машина,nouns,1.61
3219,sugar,мед,nouns,0.9
3220,rice,боб,nouns,0.69
3221,great,ужасный,adjectives,0.04
3222,hit,привлекать,verbs,0.0
